,Word,Value,V.Mean.Sum,,1.2 4.6 3.0
2237,stubborn,-2.68E-06,3.74,,
2732,defeat,-2.20E-06,3.74,,
2925,prey,-2.02E-06,3.74,,
3613,melancholy,-1.31E-06,3.74,,
4583,wrinkled,1.05E-07,3.74,,
748,disappearance,-5.00E-06,3.75,,
1260,lone,-3.91E-06,3.75,,
2590,barbed,-2.32E-06,3.75,,
3443,scalp,-1.49E-06,3.75,,
717,mandate,-5.11E-06,3.76,,
979,insurance,-4.45E-06,3.76,,
1204,swarm,-4.01E-06,3.76,,
5033,disorder,1.35E-06,3.76,,
5394,reluctant,4.40E-06,3.76,,
2367,policy,-2.56E-06,3.77,,
4797,isolation,5.69E-07,3.77,,
229,empty,-7.69E-06,3.78,,
694,derelict,-5.19E-06,3.78,,
1782,government,-3.19E-06,3.78,,
1915,difficult,-3.04E-06,3.78,,
5376,spinal,4.08E-06,3.78,,
70,hysteria,-1.04E-05,3.79,,
141,seize,-8.84E-06,3.79,,
296,numb,-7.12E-06,3.79,,
1743,frantic,-3.25E-06,3.79,,
1801,pending,-3.16E-06,3.79,,
4036,superficial,-8.13E-07,3.79,,
4042,contradiction,-8.02E-07,3.79,,
134,severity,-8.88E-06,3.8,,
689,offensive,-5.21E-06,3.8,,
811,litigation,-4.84E-06,3.8,,
1177,siren,-4.07E-06,3.8,,
1180,drain,-4.06E-06,3.8,,
1407,anxious,-3.70E-06,3.8,,
1917,scheme,-3.03E-06,3.8,,
501,mock,-5.89E-06,3.81,,
553,deny,-5.70E-06,3.81,,
614,unconscious,-5.45E-06,3.81,,
1886,sect,-3.07E-06,3.81,,
2092,vice,-2.85E-06,3.81,,
4235,goddamn,-4.79E-07,3.81,,
4518,interruption,-2.69E-08,3.81,,
536,futile,-5.75E-06,3.82,,
697,complicated,-5.19E-06,3.82,,
757,inaccessible,-4.97E-06,3.82,,
1538,blackness,-3.50E-06,3.82,,
2832,corporation,-2.10E-06,3.82,,
4880,irrigation,8.08E-07,3.82,,
323,restricted,-6.93E-06,3.83,,
499,scrutiny,-5.90E-06,3.83,,
859,objection,-4.70E-06,3.83,,
2739,probing,-2.19E-06,3.83,,
493,hunt,-5.92E-06,3.84,,
1868,criticism,-3.09E-06,3.84,,
2422,ordeal,-2.49E-06,3.84,,
2664,flee,-2.26E-06,3.84,,
26,unreasonable,-1.25E-05,3.85,,
217,havoc,-7.82E-06,3.85,,
432,pit,-6.22E-06,3.85,,
589,hoax,-5.55E-06,3.85,,
959,unlikely,-4.49E-06,3.85,,
1278,risky,-3.89E-06,3.85,,
1479,werewolf,-3.58E-06,3.85,,
1567,alone,-3.47E-06,3.85,,
2110,mono,-2.83E-06,3.85,,
2437,slack,-2.48E-06,3.85,,
5352,opposing,3.74E-06,3.85,,
65,charred,-1.05E-05,3.86,,
427,resistant,-6.24E-06,3.86,,
917,drugs,-4.57E-06,3.86,,
1447,dung,-3.64E-06,3.86,,
1541,alarm,-3.50E-06,3.86,,
1951,absence,-2.99E-06,3.86,,
3402,impose,-1.54E-06,3.86,,
4609,humidity,1.48E-07,3.86,,
4829,elimination,6.64E-07,3.86,,
4854,shallow,7.43E-07,3.86,,
4918,artificial,9.54E-07,3.86,,
5127,chronic,1.77E-06,3.86,,
160,shack,-8.69E-06,3.89,,
380,overwhelming,-6.58E-06,3.89,,
818,distorted,-4.80E-06,3.89,,
1519,judge,-3.53E-06,3.89,,
2741,eliminate,-2.19E-06,3.89,,
2961,fall,-1.97E-06,3.89,,
2969,battlefield,-1.97E-06,3.89,,
2982,stalk,-1.96E-06,3.89,,
3237,distance,-1.71E-06,3.89,,
3510,conviction,-1.42E-06,3.89,,
3599,indictment,-1.33E-06,3.89,,
4454,gunnery,-1.21E-07,3.89,,
4758,sergeant,4.81E-07,3.89,,
5175,unaware,2.02E-06,3.89,,
145,blade,-8.81E-06,3.9,,
480,shock,-5.99E-06,3.9,,
1317,gut,-3.82E-06,3.9,,
1597,ant,-3.43E-06,3.9,,
1662,cut,-3.35E-06,3.9,,
1968,expense,-2.97E-06,3.9,,
2159,pawn,-2.76E-06,3.9,,
2216,submit,-2.70E-06,3.9,,
2887,mandatory,-2.06E-06,3.9,,
3282,bout,-1.66E-06,3.9,,
3808,tar,-1.09E-06,3.9,,
5284,stern,2.97E-06,3.9,,
1399,demolition,-3.71E-06,3.91,,
1912,oil,-3.05E-06,3.91,,
2057,weight,-2.89E-06,3.91,,
3094,shit,-1.86E-06,3.91,,
1078,pistol,-4.23E-06,3.92,,
942,lawyer,-4.53E-06,3.94,,
2376,execute,-2.55E-06,3.94,,
2416,interfere,-2.50E-06,3.94,,
208,hack,-7.90E-06,3.95,,
325,cease,-6.90E-06,3.95,,
481,slump,-5.98E-06,3.95,,
675,smack,-5.25E-06,3.95,,
808,bull,-4.84E-06,3.95,,
1147,hit,-4.12E-06,3.95,,
1251,compulsion,-3.93E-06,3.95,,
1615,resist,-3.41E-06,3.95,,
1633,dusty,-3.38E-06,3.95,,
1641,issue,-3.37E-06,3.95,,
2264,sour,-2.65E-06,3.95,,
2696,overlap,-2.23E-06,3.95,,
3134,critical,-1.82E-06,3.95,,
3553,separate,-1.37E-06,3.95,,
3886,fetal,-1.00E-06,3.95,,
4105,hash,-7.16E-07,3.95,,
4827,orthodox,6.60E-07,3.95,,
5211,militant,2.38E-06,3.95,,
30,bleak,-1.18E-05,3.96,,
2134,clash,-2.80E-06,3.96,,
1623,needle,-3.40E-06,3.97,,
182,revolt,-8.44E-06,4,,
214,immigration,-7.84E-06,4,,
230,bait,-7.67E-06,4,,
321,socialism,-6.93E-06,4,,
388,disposal,-6.52E-06,4,,
978,leak,-4.45E-06,4,,
1454,slow,-3.63E-06,4,,
1456,nonsense,-3.63E-06,4,,
1653,exhaust,-3.36E-06,4,,
1734,politics,-3.26E-06,4,,
1740,institution,-3.25E-06,4,,
2101,downward,-2.84E-06,4,,
2801,fabrication,-2.13E-06,4,,
2869,fierce,-2.07E-06,4,,
2957,disclose,-1.98E-06,4,,
2963,servant,-1.97E-06,4,,
3252,liable,-1.69E-06,4,,
3606,judicial,-1.32E-06,4,,
3620,sucker,-1.30E-06,4,,
3999,hook,-8.61E-07,4,,
4229,manufacturer,-4.88E-07,4,,
4360,hesitate,-2.99E-07,4,,
4398,compressed,-2.37E-07,4,,
5089,hive,1.62E-06,4,,
1930,shark,-3.02E-06,4.02,,
2521,snake,-2.40E-06,4.03,,
593,feud,-5.54E-06,4.04,,
1649,patrol,-3.36E-06,4.04,,
1735,colon,-3.26E-06,4.04,,
162,distraction,-8.69E-06,4.05,,
257,moan,-7.43E-06,4.05,,
317,repetitive,-6.96E-06,4.05,,
528,conspicuous,-5.79E-06,4.05,,
1268,correction,-3.90E-06,4.05,,
1282,depart,-3.88E-06,4.05,,
1423,curt,-3.68E-06,4.05,,
1795,espionage,-3.17E-06,4.05,,
1887,relocate,-3.07E-06,4.05,,
1931,rust,-3.02E-06,4.05,,
2151,departure,-2.78E-06,4.05,,
2198,vampire,-2.72E-06,4.05,,
2248,haunt,-2.66E-06,4.05,,
2338,reluctance,-2.58E-06,4.05,,
3007,offense,-1.93E-06,4.05,,
3314,bound,-1.62E-06,4.05,,
3722,rush,-1.17E-06,4.05,,
4496,deter,-5.57E-08,4.05,,
5135,irregular,1.81E-06,4.05,,
5219,damp,2.42E-06,4.05,,
5377,dismissal,4.08E-06,4.05,,
5411,avenge,5.07E-06,4.05,,
2625,gas,-2.29E-06,4.06,,
4851,drunk,7.35E-07,4.06,,
1168,cell,-4.08E-06,4.09,,
2691,merger,-2.24E-06,4.09,,
5020,stranger,1.29E-06,4.09,,
269,critic,-7.29E-06,4.1,,
585,disappear,-5.59E-06,4.1,,
763,outlaw,-4.96E-06,4.1,,
1214,demand,-4.00E-06,4.1,,
1393,soviet,-3.72E-06,4.1,,
1969,avoid,-2.97E-06,4.1,,
2031,uranium,-2.91E-06,4.1,,
2215,quota,-2.70E-06,4.1,,
2375,miss,-2.55E-06,4.1,,
3640,absent,-1.27E-06,4.1,,
4017,commotion,-8.35E-07,4.1,,
4300,primitive,-3.77E-07,4.1,,
4325,siege,-3.43E-07,4.1,,
4491,fuel,-6.09E-08,4.1,,
4509,inevitable,-3.85E-08,4.1,,
4836,flaw,6.82E-07,4.1,,
671,armed,-5.26E-06,4.11,,
696,withdraw,-5.19E-06,4.11,,
713,drug,-5.12E-06,4.11,,
888,ad,-4.62E-06,4.11,,
1218,alcohol,-4.00E-06,4.11,,
1677,cost,-3.33E-06,4.11,,
2323,socialist,-2.59E-06,4.11,,
2730,commercial,-2.20E-06,4.11,,
3548,pale,-1.38E-06,4.11,,
3583,trivial,-1.34E-06,4.11,,
3818,psychiatrist,-1.07E-06,4.11,,
4363,mosque,-2.95E-07,4.11,,
5323,folly,3.38E-06,4.11,,
2885,haste,-2.06E-06,4.12,,
175,poke,-8.50E-06,4.14,,
613,stray,-5.45E-06,4.14,,
1198,mace,-4.02E-06,4.14,,
2827,explosive,-2.10E-06,4.14,,
3264,intervention,-1.68E-06,4.14,,
3665,mortar,-1.25E-06,4.14,,
4756,expose,4.78E-07,4.14,,
4949,unfamiliar,1.07E-06,4.14,,
899,arbitrary,-4.59E-06,4.15,,
1148,secrecy,-4.12E-06,4.15,,
1384,regulation,-3.74E-06,4.15,,
3667,secretive,-1.24E-06,4.15,,
3704,fiscal,-1.20E-06,4.15,,
4998,broker,1.22E-06,4.15,,
5334,apprehension,3.53E-06,4.15,,
259,pill,-7.41E-06,4.16,,
916,mug,-4.57E-06,4.16,,
1212,saw,-4.00E-06,4.16,,
2559,decrease,-2.35E-06,4.16,,
4044,territorial,-8.01E-07,4.16,,
4991,default,1.19E-06,4.16,,
250,resign,-7.48E-06,4.17,,
1074,alley,-4.24E-06,4.17,,
1517,force,-3.53E-06,4.17,,
3152,regime,-1.80E-06,4.17,,
5172,flux,2.01E-06,4.17,,
13,roe,-1.33E-05,4.18,,
277,clone,-7.25E-06,4.18,,
329,trump,-6.87E-06,4.18,,
2704,dealer,-2.22E-06,4.18,,
879,liver,-4.66E-06,4.19,,
1267,sap,-3.90E-06,4.19,,
1271,pirate,-3.89E-06,4.19,,
1344,outrageous,-3.79E-06,4.19,,
1693,command,-3.31E-06,4.19,,
1896,loan,-3.06E-06,4.19,,
2144,stroke,-2.79E-06,4.19,,
4164,contention,-6.10E-07,4.19,,
303,beetle,-7.02E-06,4.2,,
937,boycott,-4.54E-06,4.2,,
2645,debris,-2.28E-06,4.2,,
2655,ragged,-2.27E-06,4.2,,
4370,mutiny,-2.87E-07,4.2,,
124,rampage,-9.11E-06,4.21,,
997,plight,-4.40E-06,4.21,,
2035,remove,-2.91E-06,4.21,,
2068,militia,-2.88E-06,4.21,,
2278,oppose,-2.64E-06,4.21,,
3206,complex,-1.75E-06,4.21,,
3386,urgent,-1.55E-06,4.21,,
5437,horde,6.56E-06,4.21,,
1334,naive,-3.80E-06,4.22,,
1728,ruling,-3.26E-06,4.22,,
253,spike,-7.44E-06,4.23,,
412,ghost,-6.33E-06,4.23,,
720,jury,-5.10E-06,4.23,,
828,drop,-4.77E-06,4.23,,
857,evacuation,-4.70E-06,4.23,,
3901,ending,-9.77E-07,4.23,,
4,barrage,-1.65E-05,4.24,,
2233,martyr,-2.68E-06,4.24,,
2826,inactive,-2.10E-06,4.24,,
2901,graffiti,-2.04E-06,4.24,,
4096,crusade,-7.31E-07,4.24,,
5293,corps,3.05E-06,4.24,,
695,comply,-5.19E-06,4.25,,
1169,paperwork,-4.08E-06,4.25,,
2016,punk,-2.92E-06,4.25,,
2616,viceroy,-2.30E-06,4.25,,
3372,intensive,-1.56E-06,4.25,,
3490,billboard,-1.45E-06,4.25,,
636,fray,-5.38E-06,4.26,,
641,twitch,-5.37E-06,4.26,,
1713,slit,-3.28E-06,4.26,,
2042,battery,-2.90E-06,4.26,,
2106,atomic,-2.83E-06,4.26,,
3101,feminist,-1.85E-06,4.26,,
3625,republican,-1.29E-06,4.26,,
3686,mule,-1.22E-06,4.26,,
4273,sling,-4.25E-07,4.26,,
4293,removal,-3.98E-07,4.26,,
5218,supervision,2.42E-06,4.26,,
2991,terminal,-1.95E-06,4.27,,
3701,procedure,-1.21E-06,4.28,,
5015,squash,1.28E-06,4.28,,
806,tired,-4.86E-06,4.29,,
1156,substance,-4.10E-06,4.29,,
1219,marrow,-4.00E-06,4.29,,
1411,vague,-3.70E-06,4.29,,
1845,heck,-3.12E-06,4.29,,
1866,savage,-3.10E-06,4.29,,
2026,aftermath,-2.91E-06,4.29,,
2281,excess,-2.64E-06,4.29,,
2457,congressional,-2.46E-06,4.29,,
3489,prohibit,-1.45E-06,4.29,,
4782,idle,5.38E-07,4.29,,
4834,sigh,6.76E-07,4.29,,
5430,stiff,5.84E-06,4.29,,
573,puddle,-5.63E-06,4.3,,
873,advertisement,-4.67E-06,4.3,,
1098,rifle,-4.20E-06,4.3,,
2167,nuclear,-2.75E-06,4.3,,
2472,assumption,-2.45E-06,4.3,,
4341,dissertation,-3.24E-07,4.3,,
4950,outsider,1.08E-06,4.3,,
5188,gall,2.17E-06,4.3,,
67,damn,-1.05E-05,4.32,,
291,verdict,-7.14E-06,4.32,,
316,fire,-6.96E-06,4.32,,
559,condition,-5.69E-06,4.32,,
853,stall,-4.71E-06,4.32,,
1274,cold,-3.89E-06,4.32,,
1280,porn,-3.88E-06,4.32,,
2249,senator,-2.66E-06,4.32,,
2518,prior,-2.40E-06,4.32,,
3191,weigh,-1.76E-06,4.32,,
3279,rig,-1.66E-06,4.32,,
3435,hurry,-1.50E-06,4.32,,
3598,triad,-1.33E-06,4.32,,
3890,canned,-9.98E-07,4.32,,
104,burr,-9.49E-06,4.33,,
215,phi,-7.83E-06,4.33,,
348,uprising,-6.74E-06,4.33,,
1049,temporary,-4.30E-06,4.33,,
1162,seriousness,-4.09E-06,4.33,,
1997,knife,-2.94E-06,4.33,,
2507,slip,-2.42E-06,4.33,,
538,suspension,-5.74E-06,4.35,,
1310,political,-3.83E-06,4.35,,
1568,plea,-3.47E-06,4.35,,
2006,onset,-2.93E-06,4.35,,
2243,hard,-2.67E-06,4.35,,
2850,syndicate,-2.08E-06,4.35,,
3725,sac,-1.17E-06,4.35,,
4459,towering,-1.16E-07,4.35,,
1006,radical,-4.38E-06,4.36,,
1494,investigation,-3.56E-06,4.36,,
4657,sleepy,2.38E-07,4.36,,
169,belly,-8.57E-06,4.37,,
476,ram,-6.01E-06,4.37,,
1029,skeleton,-4.34E-06,4.37,,
1424,raw,-3.68E-06,4.37,,
1717,liter,-3.28E-06,4.37,,
1741,pamphlet,-3.25E-06,4.37,,
1830,rebel,-3.13E-06,4.37,,
3656,uniform,-1.26E-06,4.37,,
4843,drama,7.01E-07,4.37,,
80,heap,-1.00E-05,4.38,,
484,dagger,-5.97E-06,4.38,,
554,swat,-5.69E-06,4.38,,
832,ego,-4.76E-06,4.38,,
955,beat,-4.49E-06,4.38,,
2009,obsession,-2.93E-06,4.38,,
2810,sweat,-2.11E-06,4.38,,
3603,obstacle,-1.32E-06,4.38,,
4295,unnamed,-3.91E-07,4.38,,
193,gland,-8.17E-06,4.39,,
1107,mortal,-4.19E-06,4.39,,
4021,low,-8.33E-07,4.39,,
5050,implant,1.45E-06,4.39,,
216,oversized,-7.82E-06,4.4,,
600,huff,-5.49E-06,4.4,,
1016,lengthy,-4.36E-06,4.4,,
1060,rampant,-4.27E-06,4.4,,
1208,butcher,-4.00E-06,4.4,,
2497,squadron,-2.43E-06,4.4,,
338,demographic,-6.79E-06,4.41,,
1087,jaw,-4.21E-06,4.41,,
2049,infiltrate,-2.89E-06,4.41,,
3144,bizarre,-1.81E-06,4.41,,
3463,assume,-1.47E-06,4.41,,
3825,rent,-1.06E-06,4.41,,
4777,chilly,5.33E-07,4.41,,
4987,masses,1.18E-06,4.41,,
75,linger,-1.02E-05,4.42,,
307,protest,-6.99E-06,4.42,,
565,insist,-5.65E-06,4.42,,
783,limb,-4.91E-06,4.42,,
1026,swamp,-4.35E-06,4.42,,
1364,tack,-3.76E-06,4.42,,
1666,opponent,-3.34E-06,4.42,,
1756,beast,-3.23E-06,4.42,,
2270,diet,-2.65E-06,4.42,,
3538,division,-1.38E-06,4.42,,
3596,restrain,-1.33E-06,4.42,,
3958,plug,-9.00E-07,4.42,,
4614,halt,1.59E-07,4.42,,
4664,cobra,2.73E-07,4.42,,
168,appointment,-8.58E-06,4.43,,
231,warehouse,-7.67E-06,4.43,,
404,lax,-6.41E-06,4.43,,
588,copyright,-5.56E-06,4.43,,
977,insect,-4.45E-06,4.43,,
1137,growl,-4.14E-06,4.43,,
1172,controller,-4.08E-06,4.43,,
1189,load,-4.05E-06,4.43,,
1405,lookout,-3.70E-06,4.43,,
1982,ward,-2.95E-06,4.43,,
2005,control,-2.93E-06,4.43,,
2372,spear,-2.56E-06,4.43,,
2508,gag,-2.41E-06,4.43,,
2720,flat,-2.21E-06,4.43,,
3752,van,-1.14E-06,4.43,,
4077,edge,-7.52E-07,4.43,,
5019,slayer,1.29E-06,4.43,,
5092,sock,1.62E-06,4.43,,
503,checkpoint,-5.89E-06,4.44,,
1116,bother,-4.18E-06,4.44,,
1149,test,-4.12E-06,4.44,,
1876,meantime,-3.09E-06,4.44,,
2094,subordinate,-2.84E-06,4.44,,
2335,belt,-2.58E-06,4.44,,
594,blur,-5.54E-06,4.45,,
643,alien,-5.36E-06,4.45,,
664,absurd,-5.28E-06,4.45,,
884,blast,-4.63E-06,4.45,,
1215,withdrawal,-4.00E-06,4.45,,
1220,tough,-3.99E-06,4.45,,
1477,uneven,-3.58E-06,4.45,,
1510,amino,-3.54E-06,4.45,,
1833,nerve,-3.13E-06,4.45,,
2796,mall,-2.14E-06,4.45,,
2989,math,-1.95E-06,4.45,,
3120,administration,-1.84E-06,4.45,,
4119,lineup,-6.79E-07,4.45,,
4150,stare,-6.33E-07,4.45,,
4713,arctic,3.92E-07,4.45,,
5181,bard,2.12E-06,4.45,,
2147,vanity,-2.78E-06,4.46,,
863,stool,-4.68E-06,4.47,,
1332,proximity,-3.80E-06,4.47,,
1772,barrier,-3.21E-06,4.47,,
2594,harness,-2.31E-06,4.47,,
2742,anti,-2.19E-06,4.47,,
3517,mirage,-1.41E-06,4.47,,
4619,tug,1.73E-07,4.47,,
5035,blaze,1.36E-06,4.47,,
228,thirsty,-7.69E-06,4.48,,
374,questionable,-6.63E-06,4.48,,
919,block,-4.56E-06,4.48,,
1301,wig,-3.85E-06,4.48,,
1353,crowd,-3.78E-06,4.48,,
3021,shareholder,-1.91E-06,4.48,,
3431,plastic,-1.51E-06,4.48,,
4528,roof,-1.54E-08,4.48,,
282,torch,-7.20E-06,4.5,,
371,hacker,-6.66E-06,4.5,,
456,shut,-6.13E-06,4.5,,
621,contrary,-5.43E-06,4.5,,
665,gasp,-5.28E-06,4.5,,
746,dirt,-5.01E-06,4.5,,
952,dependent,-4.50E-06,4.5,,
1089,vary,-4.21E-06,4.5,,
1136,candidate,-4.14E-06,4.5,,
1151,generic,-4.11E-06,4.5,,
1192,imperial,-4.04E-06,4.5,,
1285,rule,-3.88E-06,4.5,,
1322,confuse,-3.82E-06,4.5,,
1613,carbon,-3.41E-06,4.5,,
1816,split,-3.15E-06,4.5,,
1823,protestant,-3.14E-06,4.5,,
1837,election,-3.13E-06,4.5,,
1900,baggage,-3.06E-06,4.5,,
2290,archaic,-2.63E-06,4.5,,
2563,consolidated,-2.35E-06,4.5,,
2612,cop,-2.30E-06,4.5,,
2920,managerial,-2.02E-06,4.5,,
3077,sulfur,-1.87E-06,4.5,,
4129,mining,-6.62E-07,4.5,,
4315,priest,-3.61E-07,4.5,,
4346,spec,-3.14E-07,4.5,,
4985,exclusive,1.17E-06,4.5,,
5234,temptation,2.52E-06,4.5,,
609,excuse,-5.47E-06,4.52,,
645,disregard,-5.35E-06,4.52,,
702,govern,-5.17E-06,4.52,,
1039,migration,-4.31E-06,4.52,,
1720,humanoid,-3.27E-06,4.52,,
3200,transit,-1.76E-06,4.52,,
3782,loose,-1.11E-06,4.52,,
4640,ordnance,2.00E-07,4.52,,
4743,ritual,4.47E-07,4.52,,
4769,berth,5.17E-07,4.52,,
4798,gaping,5.71E-07,4.52,,
109,renegade,-9.41E-06,4.53,,
2090,limit,-2.85E-06,4.53,,
2620,consulate,-2.30E-06,4.53,,
3724,scrub,-1.17E-06,4.53,,
4013,speechless,-8.43E-07,4.53,,
4040,wrestle,-8.06E-07,4.53,,
4519,stomach,-2.65E-08,4.53,,
4890,quasi,8.50E-07,4.53,,
4999,recruit,1.23E-06,4.53,,
5075,bishop,1.56E-06,4.53,,
5395,unrelated,4.42E-06,4.53,,
1373,imitation,-3.75E-06,4.54,,
3155,office,-1.80E-06,4.54,,
81,grit,-9.96E-06,4.55,,
285,polling,-7.18E-06,4.55,,
298,passenger,-7.07E-06,4.55,,
566,mainstream,-5.65E-06,4.55,,
706,hideout,-5.15E-06,4.55,,
1105,wait,-4.19E-06,4.55,,
1150,adversary,-4.11E-06,4.55,,
1626,angle,-3.39E-06,4.55,,
1792,campaign,-3.18E-06,4.55,,
1864,law,-3.10E-06,4.55,,
1867,seventy,-3.10E-06,4.55,,
2120,prescription,-2.81E-06,4.55,,
2953,evade,-1.98E-06,4.55,,
3103,testify,-1.85E-06,4.55,,
3478,meeting,-1.45E-06,4.55,,
3569,expressway,-1.36E-06,4.55,,
3781,conservative,-1.11E-06,4.55,,
3793,carp,-1.10E-06,4.55,,
3988,kick,-8.67E-07,4.55,,
5240,hog,2.57E-06,4.55,,
292,galley,-7.14E-06,4.56,,
1287,lock,-3.87E-06,4.56,,
1302,odd,-3.85E-06,4.56,,
1984,final,-2.95E-06,4.56,,
3023,coal,-1.91E-06,4.56,,
3227,budget,-1.73E-06,4.56,,
352,migrate,-6.72E-06,4.57,,
776,constitute,-4.93E-06,4.57,,
826,plantation,-4.78E-06,4.57,,
893,rivalry,-4.60E-06,4.57,,
1496,parking,-3.56E-06,4.57,,
2578,murmur,-2.33E-06,4.57,,
3444,sterile,-1.49E-06,4.57,,
4281,vector,-4.21E-07,4.57,,
4434,alter,-1.64E-07,4.57,,
4517,rapid,-2.98E-08,4.57,,
4759,commanding,4.85E-07,4.57,,
4928,lab,9.88E-07,4.57,,
5321,knot,3.37E-06,4.57,,
223,intersection,-7.71E-06,4.58,,
405,hysterical,-6.40E-06,4.58,,
526,dismiss,-5.80E-06,4.58,,
667,mental,-5.27E-06,4.58,,
670,teenager,-5.26E-06,4.58,,
1008,wipe,-4.37E-06,4.58,,
1528,dioxide,-3.51E-06,4.58,,
1999,rental,-2.94E-06,4.58,,
2268,dam,-2.65E-06,4.58,,
2671,wide,-2.25E-06,4.58,,
3051,rival,-1.89E-06,4.58,,
3470,typical,-1.46E-06,4.58,,
3854,statesman,-1.04E-06,4.58,,
4564,amateur,5.71E-08,4.58,,
510,police,-5.85E-06,4.59,,
1692,mayor,-3.31E-06,4.59,,
1934,psi,-3.02E-06,4.59,,
1998,shake,-2.94E-06,4.59,,
2178,buster,-2.73E-06,4.59,,
2206,confront,-2.71E-06,4.59,,
3744,ammunition,-1.15E-06,4.59,,
704,nitrogen,-5.15E-06,4.6,,
825,cabbage,-4.79E-06,4.6,,
1578,tenure,-3.45E-06,4.6,,
1974,marginal,-2.96E-06,4.6,,
2197,sensor,-2.72E-06,4.6,,
2407,transplant,-2.51E-06,4.6,,
2605,rhetoric,-2.31E-06,4.6,,
3837,slight,-1.05E-06,4.6,,
3853,enclosure,-1.04E-06,4.6,,
4220,chop,-5.11E-07,4.6,,
4510,prima,-3.85E-08,4.6,,
4729,rim,4.26E-07,4.6,,
535,concerned,-5.76E-06,4.61,,
1110,psychiatry,-4.18E-06,4.61,,
1591,charge,-3.44E-06,4.61,,
3863,floppy,-1.03E-06,4.61,,
5078,twist,1.58E-06,4.61,,
88,systematic,-9.76E-06,4.62,,
111,revision,-9.28E-06,4.62,,
445,pound,-6.17E-06,4.62,,
552,unnecessary,-5.71E-06,4.62,,
556,punt,-5.69E-06,4.62,,
618,pretend,-5.44E-06,4.62,,
990,wrestling,-4.42E-06,4.62,,
1019,cement,-4.36E-06,4.62,,
1050,distributor,-4.30E-06,4.62,,
1103,stump,-4.19E-06,4.62,,
1609,peasant,-3.42E-06,4.62,,
1956,sink,-2.99E-06,4.62,,
2250,plunge,-2.66E-06,4.62,,
2895,tang,-2.05E-06,4.62,,
3356,vial,-1.58E-06,4.62,,
4258,minimal,-4.41E-07,4.62,,
4478,ridge,-7.92E-08,4.62,,
5173,turf,2.01E-06,4.62,,
183,shocking,-8.44E-06,4.63,,
330,drastic,-6.87E-06,4.63,,
837,segment,-4.76E-06,4.63,,
1111,poll,-4.18E-06,4.63,,
1433,thick,-3.66E-06,4.63,,
1707,heel,-3.29E-06,4.63,,
1790,maneuver,-3.18E-06,4.63,,
1862,corporal,-3.10E-06,4.63,,
2599,bracket,-2.31E-06,4.63,,
2733,exodus,-2.20E-06,4.63,,
3300,breadth,-1.64E-06,4.63,,
3562,lash,-1.36E-06,4.63,,
3633,facade,-1.29E-06,4.63,,
3698,detection,-1.21E-06,4.63,,
3751,commuter,-1.14E-06,4.63,,
3861,dial,-1.03E-06,4.63,,
5166,elderly,1.99E-06,4.63,,
5229,riff,2.49E-06,4.63,,
5451,ether,1.08E-05,4.63,,
961,trim,-4.48E-06,4.64,,
1439,vacant,-3.65E-06,4.64,,
1828,flaming,-3.14E-06,4.64,,
2282,repeat,-2.64E-06,4.64,,
4116,snatch,-6.96E-07,4.64,,
4285,cane,-4.16E-07,4.64,,
18,claw,-1.31E-05,4.65,,
29,fade,-1.21E-05,4.65,,
347,lure,-6.74E-06,4.65,,
460,judgment,-6.10E-06,4.65,,
999,diplomat,-4.40E-06,4.65,,
1023,sticky,-4.35E-06,4.65,,
1170,machinery,-4.08E-06,4.65,,
1449,cleric,-3.63E-06,4.65,,
1835,brick,-3.13E-06,4.65,,
2334,defensive,-2.58E-06,4.65,,
2444,void,-2.48E-06,4.65,,
2526,consumption,-2.39E-06,4.65,,
3124,industrial,-1.82E-06,4.65,,
3518,army,-1.41E-06,4.65,,
3543,homosexual,-1.38E-06,4.65,,
4110,brood,-6.99E-07,4.65,,
4152,clerical,-6.29E-07,4.65,,
4186,roadside,-5.77E-07,4.65,,
4344,ham,-3.18E-07,4.65,,
4584,curb,1.09E-07,4.65,,
4608,ninety,1.48E-07,4.65,,
4650,squat,2.20E-07,4.65,,
5108,weed,1.70E-06,4.65,,
5132,reset,1.79E-06,4.65,,
424,blank,-6.26E-06,4.67,,
628,sector,-5.40E-06,4.67,,
824,enforcement,-4.79E-06,4.67,,
945,muster,-4.52E-06,4.67,,
1475,dare,-3.58E-06,4.67,,
1635,cervical,-3.38E-06,4.67,,
1709,code,-3.29E-06,4.67,,
1901,hollow,-3.06E-06,4.67,,
2558,mimic,-2.35E-06,4.67,,
2762,possess,-2.16E-06,4.67,,
3226,drawer,-1.73E-06,4.67,,
3235,pharmaceutical,-1.72E-06,4.67,,
3801,speculation,-1.10E-06,4.67,,
4308,fragile,-3.70E-07,4.67,,
4348,outpost,-3.12E-07,4.67,,
4873,chilling,7.94E-07,4.67,,
5130,empirical,1.78E-06,4.67,,
5248,temperament,2.63E-06,4.67,,
114,foreigner,-9.24E-06,4.68,,
186,broadcasting,-8.39E-06,4.68,,
782,interim,-4.91E-06,4.68,,
817,rear,-4.82E-06,4.68,,
1185,casino,-4.05E-06,4.68,,
1337,mere,-3.80E-06,4.68,,
1481,leave,-3.58E-06,4.68,,
1515,reaction,-3.53E-06,4.68,,
1535,foot,-3.50E-06,4.68,,
1618,ratio,-3.40E-06,4.68,,
1622,strip,-3.40E-06,4.68,,
1739,responsibility,-3.25E-06,4.68,,
