,Word,Distil,Bert,Gold,Frequency,Mean Star,FFN,avg(vad_eb.V),avg(vad_eb.V > 3)
1222,separate,-3.3464693891575395e-06,-1.37e-06,3.95,15,2.9306666666666663,2.9387557999999996,2.9306669999999997,0.2
1223,universe,-3.3450855827354274e-06,-4.53e-06,6.81,9,2.7566666666666664,3.3579345000000003,2.7566669999999998,0.1111
1224,massive,-3.344456693549216e-06,-3.03e-06,5.18,14,2.875714285714285,2.6067294999999997,2.8953849999999997,0.3846
1225,footage,-3.344037762353462e-06,1.08e-06,5.33,2,3.0,2.6361522999999996,3.0,0.0
1226,truth,-3.3434585036990637e-06,-5.85e-06,7.19,13,2.785384615384615,2.606553,2.701,0.1
1227,claim,-3.3427445850393286e-06,-5.42e-06,5.15,24,2.8041666666666667,2.6559849,2.804348,0.0435
1228,carpenter,-3.3426303772769264e-06,-8.16e-08,5.94,1,2.83,2.994559,2.83,0.0
1229,legislation,-3.3388591995414817e-06,-3.59e-06,3.55,6,2.8883333333333336,2.7676678,2.8883330000000003,0.3333
1230,treaty,-3.3377218342820235e-06,-1.97e-06,5.42,6,3.0216666666666665,2.8063222999999997,3.006,0.6
1231,observatory,-3.3366444835425386e-06,-4.33e-06,5.36,1,2.9,3.4723094,2.9,0.0
1232,fisherman,-3.3358492818139998e-06,-8.690000000000002e-07,5.42,1,2.83,2.9092271,2.83,0.0
1233,bread,-3.334429490543338e-06,-1.92e-06,6.52,3,2.8000000000000003,3.134588,2.9,0.5
1234,phrase,-3.334207818716176e-06,-3.44e-07,5.5,2,2.8,2.9889054,2.7,0.0
1235,excuse,-3.332924156782916e-06,-5.47e-06,4.52,2,2.85,2.6064439999999998,2.85,0.0
1236,methodology,-3.3304950872176343e-06,-4.89e-06,4.84,2,2.855,2.9618373,2.855,0.0
1237,experiment,-3.329194018571401e-06,-4.2000000000000004e-06,6.05,11,2.8836363636363633,3.1333776,2.882,0.2
1238,govern,-3.3285028124805773e-06,-5.17e-06,4.52,2,3.0,2.6363401,3.0,0.0
1239,throat,-3.3282511374145363e-06,-6.71e-06,4.76,6,2.4666666666666663,2.6064439999999998,2.4666669999999997,0.0
1240,pillow,-3.3277009312038173e-06,-3.71e-06,7.0,3,2.7,3.0466474999999997,2.7,0.0
1241,mint,-3.327284827950825e-06,-1.42e-06,6.55,5,3.16,3.6675053,3.16,0.4
1242,confused,-3.3219886749202843e-06,-8.75e-06,3.11,3,2.766666666666666,2.6064439999999998,2.766667,0.0
1243,republican,-3.3201102972330964e-06,-1.29e-06,4.26,4,2.8875,2.6761572,2.8875,0.0
1244,minister,-3.319435807233857e-06,-3.14e-06,5.0,12,3.0116666666666667,2.8841669999999997,3.0116669999999996,0.5
1245,guard,-3.319339355382517e-06,-4.94e-06,5.89,4,2.8000000000000003,2.7252736,2.8,0.0
1246,turnpike,-3.3158564077071656e-06,5.21e-07,4.89,2,2.89,2.640352,2.89,0.0
1247,eyes,-3.3144754980348203e-06,-3.89e-06,6.57,54,2.858333333333334,3.1660353999999997,2.852264,0.2075
1248,earth,-3.313628416282793e-06,-2.63e-06,6.83,27,2.8544444444444435,3.1339755,2.897727,0.3636
1249,karma,-3.313135563796458e-06,-3.16e-06,6.28,1,2.9,3.1091776,2.9,0.0
1250,jar,-3.311967769558758e-06,-2.07e-06,5.71,5,3.12,3.4942896,3.5,1.0
1251,fuck,-3.3119125764420143e-06,-6.88e-06,5.23,5,2.494,2.6064439999999998,1.7233330000000002,0.0
1252,merit,-3.3108404282472526e-06,-3.96e-06,6.94,5,2.8920000000000003,2.9898029999999998,2.892,0.0
1253,massacre,-3.310760769728273e-06,-8.87e-06,1.77,3,2.6666666666666665,2.6064439999999998,2.666667,0.0
1254,infiltrate,-3.309198090647713e-06,-2.89e-06,4.41,4,2.7975,2.608066,3.0,0.0
1255,downward,-3.308136013535548e-06,-2.84e-06,4.0,2,2.8,2.6075284,2.8,0.0
1256,target,-3.3070063526729304e-06,-3.68e-06,5.24,12,2.874166666666666,2.6581717,2.874167,0.25
1257,ban,-3.3064847592524034e-06,-2.52e-06,3.38,15,2.892,2.6066439999999997,2.841,0.1
1258,airport,-3.3058894985530043e-06,-6.16e-06,6.0,9,2.726666666666667,3.0288447999999994,2.726667,0.3333
1259,wholesale,-3.301755778382622e-06,-4.25e-06,6.33,31,2.795806451612904,2.746352,3.0,0.25
1260,compulsion,-3.301300757989808e-06,-3.93e-06,3.95,1,2.8,2.6312127,2.8,0.0
1261,domain,-3.301223245030354e-06,-4.54e-06,5.05,8,2.84,2.94812,2.84,0.0
1262,headquarters,-3.300966835400974e-06,-3.16e-06,4.95,8,2.9237500000000005,2.946507,2.92375,0.5
1263,location,-3.30085140249978e-06,-4.14e-06,5.77,6,2.8416666666666663,3.3458377999999995,2.8416669999999997,0.1667
1264,wear,-3.300580330347166e-06,-3.76e-06,6.36,7,3.05,2.9882082999999997,3.21,0.8
1265,hammer,-3.3002940164354883e-06,-1.56e-06,5.17,6,2.878333333333334,2.6065742999999997,2.834,0.2
1266,engagement,-3.298880323870472e-06,-4e-06,6.65,1,3.0,3.1634355,3.0,0.0
1267,carry,-3.298776592152137e-06,-1.34e-06,5.67,12,2.8791666666666664,2.9038167,2.879167,0.25
1268,lifelong,-3.2975551522059407e-06,9.51e-07,6.76,2,3.275,3.6552138,3.275,1.0
1269,manage,-3.2962030649859777e-06,-2.01e-06,4.71,2,2.95,2.8591743,2.8,0.0
1270,feminist,-3.295850875295372e-06,-1.85e-06,4.26,4,3.045,3.0390806,3.045,0.25
1271,eighteen,-3.2956696057323542e-06,-4.18e-06,5.72,1,3.1,2.6967428,3.1,1.0
1272,aquarium,-3.2942552527057926e-06,-4.12e-06,6.43,7,2.7014285714285715,3.5691502,2.654,0.2
1273,counter,-3.2936247262944352e-06,-2.73e-06,5.22,17,2.89,2.9424384,2.8975,0.25
1274,reduce,-3.291942103335663e-06,-3.74e-06,5.1,6,2.9333333333333336,2.7942991000000004,2.933333,0.3333
1275,classified,-3.2910590487945773e-06,-8.520000000000002e-07,5.53,3,3.0666666666666664,2.8458338,3.066667,0.3333
1276,coalition,-3.2906589303393383e-06,-2.95e-06,4.9,11,3.01909090909091,2.6353807000000002,3.061,0.5
1277,rapid,-3.287455682869876e-06,-2.98e-08,4.57,3,3.0133333333333336,3.119254,3.07,0.5
1278,parallel,-3.2860888596354197e-06,-3.28e-06,5.29,5,3.022,2.9574077,3.022,0.6
1279,lost,-3.2852442196181324e-06,-3.78e-06,2.53,19,2.8578947368421046,2.6064439999999998,2.9055560000000002,0.1667
1280,slow,-3.2831152920214612e-06,-3.63e-06,4.0,13,2.7407692307692306,2.6064439999999998,2.844545,0.2727
1281,pollution,-3.27967102887759e-06,-4.57e-06,2.0,9,3.0355555555555562,2.6064439999999998,3.035556,0.5556
1282,warehouse,-3.2792155977567905e-06,-7.67e-06,4.43,2,2.875,2.748153,3.0,0.0
1283,distressed,-3.2779428322671452e-06,-7.57e-06,3.38,1,2.5,2.6064439999999998,2.5,0.0
1284,aggressive,-3.2777705412799977e-06,-2.63e-06,3.08,5,2.94,2.6330452,2.94,0.2
1285,symmetrical,-3.2766628835963667e-06,3.71e-06,5.76,1,3.0,3.122647,3.0,0.0
1286,rail,-3.2759296440136976e-06,-4.18e-07,5.1,6,3.0733333333333337,2.626667,3.0733330000000003,0.6667
1287,prosecution,-3.2754195365568434e-06,-3.38e-06,3.37,3,2.766666666666667,2.6068099,2.766667,0.0
1288,oversight,-3.2743735966049106e-06,-7.09e-06,3.6,1,2.43,2.6064439999999998,2.43,0.0
1289,insect,-3.273398136437024e-06,-4.45e-06,4.43,3,2.806666666666666,2.779807,2.806667,0.0
1290,hour,-3.270740683298283e-06,-2.57e-06,5.05,32,2.8393749999999995,2.9767096,2.816316,0.2105
1291,percent,-3.2705063580965137e-06,-4.75e-06,5.67,13,3.002307692307693,2.8977003,3.002308,0.4615
1292,discrimination,-3.2669170853735314e-06,-9.44e-06,2.45,3,2.9,2.6855493,2.9,0.6667
1293,wed,-3.2656937341187433e-06,-1.05e-06,6.79,1,3.09,3.2009654,3.11,1.0
1294,greenhouse,-3.265380467053677e-06,-1.7e-06,6.4,3,2.8466666666666662,3.2747755,2.8466669999999996,0.3333
1295,manuscript,-3.263241684414257e-06,-2.5e-06,6.05,1,3.0,3.0086157000000004,3.0,0.0
1296,plunge,-3.261923458789148e-06,-2.66e-06,4.62,3,2.7,2.6310036,2.9,0.0
1297,haven,-3.259888822532378e-06,-3.68e-06,6.36,14,2.7664285714285706,3.1017551,3.08,0.5
1298,heartbeat,-3.258148282694768e-06,-4.09e-06,6.24,2,2.875,3.5380611000000006,3.37,1.0
1299,rice,-3.2568235005306433e-06,-1.22e-06,5.7,11,2.958181818181818,3.0600379,2.958182,0.2727
1300,listen,-3.2540626301086977e-06,-3.68e-06,6.91,10,2.733,2.9570397999999996,2.733,0.1
1301,cat,-3.251597857744254e-06,-2.02e-06,6.95,14,2.897857142857144,3.19686,2.924545,0.4545
1302,government,-3.2510957565385037e-06,-3.19e-06,3.78,73,2.911506849315068,2.608145,2.919296,0.2394
1303,cap,-3.2498905318002086e-06,-3.12e-06,5.0,14,2.8835714285714285,2.9559995999999997,2.893846,0.2308
1304,prized,-3.2489737855264287e-06,-2.55e-06,6.2,1,3.0,3.833128,3.0,0.0
1305,insult,-3.2486729442393614e-06,-7.9e-06,2.62,1,1.9,2.6064439999999998,1.9,0.0
1306,reader,-3.242153594395633e-06,-1.05e-06,6.52,6,3.023333333333333,3.0291219,3.023333,0.3333
1307,weed,-3.2421355005141095e-06,1.7e-06,4.65,1,3.1,2.7022017999999997,3.1,1.0
1308,respectful,-3.241138706191101e-06,-4.36e-06,7.45,2,2.65,3.9442171999999998,2.3,0.0
1309,particular,-3.2387716032494527e-06,-2.66e-06,5.05,13,2.9376923076923074,2.966354,2.9376919999999997,0.2308
1310,complicated,-3.238292525096089e-06,-5.19e-06,3.82,6,2.72,2.620984,2.72,0.0
1311,trademark,-3.2360936485370533e-06,-3.91e-06,5.0,1,3.11,3.0449865000000003,3.11,1.0
1312,tube,-3.235841217289851e-06,-6.21e-06,5.53,2,2.1500000000000004,3.022897,2.15,0.0
1313,democratic,-3.232238955644627e-06,-5.6e-06,5.7,7,2.8014285714285707,2.9326119999999998,2.8016669999999997,0.1667
1314,saw,-3.2313475485410508e-06,-4e-06,4.16,38,2.8526315789473684,3.1333165000000003,2.852632,0.2368
1315,activist,-3.2296439574919238e-06,-5.02e-06,6.24,3,2.92,2.6070974,2.92,0.6667
1316,mouth,-3.2274031861811373e-06,-3.06e-06,5.59,15,2.904666666666667,2.8279715,2.844615,0.1538
1317,border,-3.2269763878232938e-06,-2.4e-06,4.68,10,2.84,2.724469,2.911111,0.1111
1318,clash,-3.225580760656798e-06,-2.8e-06,3.96,4,2.875,2.6072740000000003,2.833333,0.3333
1319,graveyard,-3.225005978211201e-06,-5.6e-06,3.25,1,3.22,2.6064439999999998,3.22,1.0
1320,tap,-3.224665172145106e-06,-1.99e-06,5.33,2,3.06,3.1005673,3.06,0.5
1321,mid,-3.2218913419490016e-06,-1.61e-06,5.21,28,2.948571428571429,2.8643992000000003,2.92,0.5
1322,cognitive,-3.221203641634526e-06,-3.46e-06,5.68,2,3.0,3.0220432,3.0,0.0
1323,produce,-3.2208158808194618e-06,-2.48e-06,6.57,13,2.9169230769230765,3.1965885,2.916923,0.3846
1324,graceful,-3.2200053690922825e-06,-4.27e-06,6.95,1,2.9,4.053776999999999,2.9,0.0
1325,gaming,-3.2198350267348755e-06,-1.54e-06,5.67,4,3.025,2.7985835,3.025,0.5
1326,intellectual,-3.219414716926217e-06,-5.37e-06,7.65,1,3.0,3.0138488,3.0,0.0
1327,coordinate,-3.2192994009914637e-06,-4.47e-07,5.5,1,3.2,3.3682146,3.2,1.0
1328,wreck,-3.2191243638772057e-06,-4.59e-06,1.62,5,2.74,2.6064439999999998,2.705,0.0
1329,assumption,-3.218243797486105e-06,-2.45e-06,4.3,1,3.11,2.809784,3.11,1.0
1330,agriculture,-3.2173049628675096e-06,-2.01e-06,6.1,7,2.957142857142857,3.047383,2.957143,0.4286
1331,lay,-3.2170443779500735e-06,-2.53e-06,6.18,22,2.930454545454545,2.6071546000000003,2.930455,0.3636
1332,bakery,-3.2153495995608052e-06,-2.8999999999999998e-06,6.79,2,2.725,3.4349544,2.725,0.0
1333,posture,-3.2153277596674856e-06,-1.71e-06,4.89,1,3.22,2.9559994,3.22,1.0
1334,coordinator,-3.2147145241539013e-06,-2.03e-06,5.43,2,3.15,3.3687977999999994,3.15,0.5
1335,paperwork,-3.2142014304844973e-06,-4.08e-06,4.25,2,2.5,2.7152414,2.5,0.0
1336,desert,-3.213206982919532e-06,-2.38e-06,5.36,16,2.954375,2.6120422000000003,2.954375,0.375
1337,prominent,-3.212163931998499e-06,-4.7e-06,5.21,3,2.833333333333333,2.966591,2.833333,0.0
1338,meat,-3.211675064178029e-06,-2.45e-06,6.62,11,2.9672727272727277,2.7469873,2.9175,0.375
1339,zinc,-3.2092978107800536e-06,-2.24e-06,4.79,1,2.73,2.9876301,2.73,0.0
1340,judge,-3.208874032497556e-06,-3.53e-06,3.89,13,2.8084615384615383,2.6177716,2.775833,0.1667
1341,observation,-3.207761982859195e-06,-2.73e-06,5.61,9,2.9233333333333333,3.0063004,2.923333,0.1111
1342,mere,-3.206444520156124e-06,-3.8e-06,4.68,6,2.91,2.6433737,2.91,0.1667
1343,vote,-3.2062661668039524e-06,-3.52e-06,5.24,13,2.9184615384615378,2.8398225,2.9211110000000002,0.2222
1344,sheet,-3.2024203122071928e-06,-3.2e-06,5.57,6,2.921666666666667,2.9512174,2.921667,0.5
1345,medical,-3.2004186122719082e-06,-2.41e-06,5.22,12,2.943333333333333,2.8978095,2.943333,0.3333
1346,plea,-3.2003897969610386e-06,-3.47e-06,4.35,3,2.9333333333333336,2.6069891,2.9,0.0
1347,attain,-3.1996807906090976e-06,-2.04e-06,5.85,1,3.0,3.2764316000000004,3.0,0.0
1348,equivalent,-3.199504735800984e-06,-5.0999999999999995e-06,5.89,6,2.751666666666667,2.7812462000000004,2.662,0.0
1349,permission,-3.198582201468144e-06,1.51e-06,5.14,1,2.9,2.815384,2.9,0.0
1350,bearings,-3.196490570386845e-06,-2.56e-06,5.43,1,2.88,2.9417362000000002,2.88,0.0
1351,figure,-3.19541708680513e-06,-2.56e-06,5.09,19,2.834736842105264,2.942314,2.834737,0.2105
1352,dwell,-3.1935987375457537e-06,-2.48e-06,4.75,3,2.9466666666666668,2.6208105,2.9466669999999997,0.3333
1353,video,-3.1931949156404413e-06,-3.23e-06,6.64,18,2.9222222222222225,3.1249689999999997,2.935333,0.2667
1354,perpetual,-3.1863478069878084e-06,-3.28e-06,5.75,3,3.0,2.6137686,3.0,0.5
1355,northeast,-3.1859382053185207e-06,-4.34e-06,5.5,5,2.964,2.613284,3.15,0.5
1356,pavement,-3.1832039822053218e-06,-3.54e-07,5.5,1,3.0,2.6067626,3.0,0.0
1357,narrative,-3.1818412780205865e-06,-2.63e-06,6.32,4,3.0,2.6374586,3.0,0.25
1358,overall,-3.181109552002412e-06,-2.23e-06,5.17,8,2.97,3.9105759,2.97,0.375
1359,navigation,-3.180871590287987e-06,-1.54e-06,5.84,4,3.02,3.1058729,3.066667,0.3333
1360,concerned,-3.178960285702717e-06,-5.76e-06,4.61,11,2.8681818181818177,2.6064439999999998,2.868182,0.2727
1361,leg,-3.178554339157845e-06,-3.38e-06,6.22,10,2.919,2.918711,2.976667,0.6667
1362,dependent,-3.17683278827872e-06,-4.5e-06,4.5,2,3.0,2.6098914,3.0,0.0
1363,bitter,-3.1762452487546373e-06,-3.5000000000000004e-06,3.63,11,3.0254545454545454,2.6064439999999998,3.006,0.4
1364,basement,-3.1760602286507594e-06,-5.63e-06,4.81,3,2.876666666666667,2.6068852000000002,2.95,0.0
1365,animal,-3.174313059189402e-06,-3.65e-06,7.06,32,2.9384375,2.94659,2.938438,0.4688
1366,subsequent,-3.1738081290033637e-06,-3.87e-06,5.16,1,3.0,2.6399548,3.0,0.0
1367,trouble,-3.1711855974983505e-06,-4.41e-06,2.87,12,2.665,2.6064439999999998,2.665,0.0833
1368,realistic,-3.1706901991342133e-06,-3.06e-06,5.89,2,2.95,3.1069322,2.95,0.0
1369,car,-3.168641030242909e-06,-3.53e-06,6.63,30,2.8206666666666664,2.9456882,2.755,0.1667
1370,fantastic,-3.167817065274336e-06,-1.22e-06,8.36,2,2.95,5.47254,2.95,0.0
1371,spear,-3.165455263851498e-06,-2.56e-06,4.43,2,3.05,2.6301982,3.0,0.0
1372,mail,-3.1643707564266657e-06,-3.43e-06,6.28,17,2.9505882352941177,3.1656165,2.943333,0.3333
1373,nerve,-3.162186518239352e-06,-3.13e-06,4.45,3,2.9633333333333334,2.6064439999999998,2.963333,0.3333
1374,spacecraft,-3.1621535156225087e-06,-1.75e-06,5.58,1,3.1,3.292097,3.1,1.0
1375,professor,-3.1613059747286685e-06,-4.16e-06,5.72,4,2.6975,2.6178296000000003,2.6975,0.0
1376,foot,-3.160947837271601e-06,-3.5000000000000004e-06,4.68,10,2.957,2.7767453,2.8528569999999998,0.0
1377,steaming,-3.158622532075291e-06,1.56e-07,5.05,1,3.0,2.9891262000000003,3.0,0.0
1378,reasonable,-3.1582836889735657e-06,-3.22e-06,6.84,3,3.1333333333333333,3.0393999,3.1333330000000004,0.3333
1379,leave,-3.1570051254140812e-06,-3.58e-06,4.68,40,2.86425,2.6064439999999998,2.86425,0.3
1380,grab,-3.1567045235651736e-06,-8.83e-07,5.44,4,2.95,3.1941104,2.95,0.25
1381,kidney,-3.153380265829194e-06,-4.54e-06,4.9,1,2.6,2.7952394,2.6,0.0
1382,mane,-3.153352555735715e-06,9.64e-07,5.32,1,3.2,3.240806,3.2,1.0
1383,animated,-3.152659925317418e-06,-2.93e-06,6.65,3,3.01,3.373689,3.01,0.3333
1384,physiology,-3.1514791373523274e-06,-1.76e-06,5.16,1,3.0,2.9750520000000003,3.0,0.0
1385,tray,-3.150910115453862e-06,8.39e-07,5.14,2,2.9,3.1857238,2.9,0.0
1386,vulnerable,-3.150179334314845e-06,-4.19e-06,3.57,4,2.85,2.6064439999999998,2.85,0.25
1387,trace,-3.1496625354876363e-06,-7.75e-08,4.74,3,3.266666666666667,2.746516,3.266667,1.0
1388,cosmetic,-3.1481513112311768e-06,-4.05e-06,5.09,5,2.78,2.9758365,2.78,0.0
1389,governmental,-3.1477553270050094e-06,-4.59e-06,2.89,4,2.905,2.6250646,2.873333,0.3333
1390,beat,-3.145820139896023e-06,-4.49e-06,4.38,6,2.716666666666667,2.78911,2.7166669999999997,0.0
1391,bust,-3.1442345306831317e-06,-4.42e-06,4.77,1,2.5,2.6164810000000003,2.5,0.0
1392,compliance,-3.144109036017547e-06,-3.63e-07,5.18,1,2.89,2.9052072,2.89,0.0
1393,eternal,-3.1423681506226777e-06,-6.94e-06,6.76,10,2.885,3.1526080000000003,2.858889,0.4444
1394,bare,-3.142358676606893e-06,-2.69e-06,5.5,2,2.9,2.6064439999999998,2.9,0.0
1395,apartment,-3.1422441290244886e-06,-1.73e-06,5.72,12,2.9625,2.661382,2.9625,0.5833
1396,simultaneous,-3.1414136279865152e-06,-1.9e-06,5.57,1,3.0,3.2390232000000005,3.0,0.0
1397,amend,-3.141337016951486e-06,-3.11e-06,5.85,5,2.8120000000000003,2.9560174999999997,2.812,0.0
1398,growl,-3.1411377857173493e-06,-4.14e-06,4.43,1,3.2,2.6068919999999998,3.2,1.0
1399,welfare,-3.1364894102611537e-06,-4.37e-06,3.58,19,2.935789473684211,2.6089882999999996,2.9357889999999998,0.2105
1400,silly,-3.133428495305974e-06,-3.47e-06,6.72,5,2.906,2.610713,2.906,0.2
1401,outer,-3.1333312898187967e-06,-1.88e-06,5.19,5,2.98,2.9809650000000003,2.98,0.0
1402,flirt,-3.132717201026788e-06,-1.74e-06,6.73,3,3.0,3.5640345,2.85,0.0
1403,explicit,-3.1307506784250074e-06,-1.43e-06,4.82,3,2.776666666666667,2.9172702,2.7766669999999998,0.0
1404,interfere,-3.127848313240955e-06,-2.5e-06,3.94,1,2.91,2.6064439999999998,2.91,0.0
1405,harmless,-3.1278462028656398e-06,-4.59e-06,6.59,1,2.8,2.6071982000000005,2.8,0.0
1406,spin,-3.126627060817966e-06,-4.6e-06,4.9,5,2.204,3.1334503,2.6,0.0
1407,needle,-3.1236607663428137e-06,-3.4e-06,3.97,1,2.4,2.9517147999999995,2.4,0.0
1408,plan,-3.1227688292240325e-06,-2.06e-06,6.14,43,2.9341860465116283,2.9087843999999996,2.921951,0.2683
1409,summit,-3.1225535115580397e-06,-8.61e-06,5.5,3,2.6,2.9978015,2.6,0.0
1410,creation,-3.1184565261676036e-06,-3.77e-06,6.85,6,2.7216666666666662,3.8865084999999997,2.7216669999999996,0.0
1411,rental,-3.116642240532128e-06,-2.94e-06,4.58,3,2.8666666666666667,3.1030029999999997,2.8666669999999996,0.0
1412,room,-3.1161193271351966e-06,-2.52e-06,5.55,40,2.9712499999999995,3.1511445,2.969737,0.3947
1413,gas,-3.1158808166470544e-06,-2.29e-06,4.06,16,2.966875,2.6073737,2.929091,0.3636
1414,majestic,-3.115592780638526e-06,-1.29e-06,7.14,1,3.1,4.1342664,3.1,1.0
1415,generation,-3.115491391888122e-06,-4.06e-06,6.08,6,2.905,2.898466,2.905,0.5
1416,survive,-3.1153926134626744e-06,-3.42e-06,6.9,6,2.833333333333333,2.6064439999999998,2.833333,0.1667
1417,thing,-3.1144392645404116e-06,-3.81e-06,5.55,64,2.91625,2.730943,2.91625,0.2656
1418,alarm,-3.1143924463243773e-06,-3.5000000000000004e-06,3.86,4,2.7875,2.6064439999999998,2.72,0.0
1419,structure,-3.113661405984152e-06,-2.73e-06,5.68,18,2.9688888888888894,2.970049,2.968889,0.2222
1420,boy,-3.112355885283455e-06,-2.3e-06,5.84,28,2.826071428571429,3.1445355,2.810476,0.2381
1421,skilled,-3.112169571935624e-06,4.64e-07,7.05,2,3.0700000000000003,3.3894398,3.07,0.5
1422,wash,-3.111206573713468e-06,-2.62e-06,6.0,3,3.1566666666666667,2.8298335,3.0,0.0
1423,studio,-3.106511313243019e-06,-3.06e-06,6.24,3,2.9933333333333336,3.4808762000000004,2.9933330000000002,0.3333
1424,nude,-3.1053445224878585e-06,-3.27e-06,6.1,2,2.75,2.9837015,2.9,0.0
1425,frontier,-3.104344093071612e-06,-3.44e-06,6.53,4,2.8775,2.99593,2.8775,0.25
1426,distraction,-3.102820880610211e-06,-8.69e-06,4.05,1,2.5,2.6064439999999998,2.5,0.0
1427,directory,-3.1018839679736177e-06,-9.79e-07,5.21,1,3.2,3.1043696,3.2,1.0
1428,specific,-3.0990316970574432e-06,-1.54e-06,5.48,6,2.9416666666666664,2.9401836,2.941667,0.1667
1429,tendency,-3.097948968810299e-06,1.28e-06,4.85,2,2.95,2.6083322,2.95,0.0
1430,uneven,-3.096069774448836e-06,-3.58e-06,4.45,1,3.12,2.6064439999999998,3.12,1.0
1431,ninja,-3.0952848267156213e-06,-3.5000000000000004e-06,5.14,8,3.115,2.8567742999999997,3.1366669999999996,0.5
1432,ground,-3.095033321641333e-06,-3.48e-06,5.28,24,2.82625,2.6067560000000003,2.80913,0.3043
1433,current,-3.093730880039695e-06,-1.64e-06,5.53,22,3.021818181818182,2.956283,3.021818,0.4545
1434,stern,-3.0933374095921838e-06,2.97e-06,3.9,4,3.1325,2.6859016,3.1325,0.5
1435,advice,-3.0926434415971355e-06,-3.13e-06,5.78,8,2.91875,3.0489,2.91875,0.25
1436,psychological,-3.0909364782254343e-06,-1.96e-06,4.77,14,3.012142857142857,2.6262167,3.012143,0.4286
1437,encouraging,-3.0901094884479754e-06,-4.32e-06,6.89,1,2.75,4.3795805,2.75,0.0
1438,copyright,-3.086350185390902e-06,-5.56e-06,4.43,2,2.715,2.9357599999999997,2.715,0.0
1439,twelve,-3.0860223292017037e-06,-3.18e-06,5.32,3,2.9066666666666667,3.0087447,2.9066669999999997,0.0
1440,fielder,-3.082889440227804e-06,2.99e-06,4.72,1,3.0,3.3104226999999997,3.0,0.0
1441,thought,-3.081768626921646e-06,-4.07e-06,6.76,73,2.9045205479452068,2.8144245,2.9115279999999997,0.3194
1442,basic,-3.077938956557383e-06,-3.21e-06,5.5,9,2.8577777777777786,2.9340568,2.8577779999999997,0.4444
1443,razor,-3.075290336798537e-06,-3.77e-06,4.9,2,2.8,2.8610356,2.8,0.0
1444,fog,-3.0750159117978737e-06,-2.48e-06,5.77,2,3.09,2.6064439999999998,3.09,0.5
1445,probe,-3.0742451278309364e-06,-2.97e-06,3.63,6,2.85,2.627032,2.82,0.0
1446,anxious,-3.073774459885828e-06,-3.7000000000000006e-06,3.8,2,2.685,2.6089358,2.685,0.0
1447,suburban,-3.073345036126255e-06,-1.41e-06,5.85,3,2.833333333333333,2.6176782000000003,2.833333,0.0
1448,senate,-3.0723302908872037e-06,-4e-06,3.38,25,2.8164,2.8715432,2.8164,0.16
1449,substitute,-3.072002828908852e-06,-5.64e-07,4.91,1,3.0,2.9636927,3.0,0.0
1450,paranoia,-3.069725487399157e-06,-6.15e-06,2.6,3,2.8666666666666667,2.6064439999999998,2.8666669999999996,0.0
1451,terror,-3.069320649839115e-06,-5.38e-06,2.75,15,2.6686666666666667,2.6064439999999998,2.426,0.0
1452,livestock,-3.068289154565621e-06,6.59e-06,5.95,1,3.1,2.626463,3.1,1.0
1453,approximate,-3.0676682171484926e-06,-4.07e-06,5.26,3,2.973333333333333,2.9560027,2.9733330000000002,0.3333
1454,linen,-3.0671536097870437e-06,-3.63e-07,6.0,2,2.8600000000000003,3.0306634999999997,3.1,1.0
1455,army,-3.0661640044492403e-06,-1.41e-06,4.65,12,2.9233333333333333,2.6204472,2.923333,0.4167
1456,scenario,-3.0654460890583548e-06,-4.38e-06,5.58,2,2.55,2.6211689,2.55,0.0
1457,agent,-3.064703593007312e-06,-3.94e-06,5.23,11,2.69,3.025703,2.71,0.1111
1458,tall,-3.062335864453437e-06,-2.44e-06,6.71,8,2.84625,3.2858690999999998,2.84625,0.125
1459,embarrassment,-3.058851062669639e-06,-2.52e-06,2.72,2,2.8,2.6064439999999998,2.8,0.0
1460,would,-3.0583628132696456e-06,-2.99e-06,5.91,294,2.937312925170068,2.9037552000000004,2.937313,0.2789
1461,justice,-3.056947502010588e-06,-1.96e-06,6.8,12,2.938333333333334,2.6195326,2.938333,0.4167
1462,federal,-3.0560807330698338e-06,-2.75e-06,3.06,29,2.8072413793103457,2.644925,2.807241,0.0345
1463,test,-3.0560185424699108e-06,-4.12e-06,4.44,16,2.865,3.0204854,2.869333,0.3333
1464,pedestrian,-3.055282211307057e-06,4.03e-06,5.21,1,3.0,2.6159117000000003,3.0,0.0
1465,ballot,-3.053056771516193e-06,-2.93e-06,5.29,14,2.915714285714286,2.7203654999999998,2.915714,0.2143
1466,profession,-3.052906189400055e-06,-4.17e-06,5.52,2,3.0,3.0743504,3.0,0.0
1467,training,-3.0523314487824138e-06,-1.04e-06,5.19,13,3.0761538461538462,3.0319705000000003,3.0761540000000003,0.4615
1468,turbo,-3.052171062274987e-06,-2.45e-06,5.95,3,3.0,3.0596557,3.0,0.0
1469,quote,-3.0510316242725087e-06,-4.94e-06,5.85,2,2.9,3.0345304,2.9,0.0
1470,fur,-3.05072369220992e-06,-1.06e-06,5.65,8,2.925,3.0189521,2.74,0.4
1471,detention,-3.0472758137678924e-06,-1.06e-05,3.28,1,2.9,2.6064439999999998,2.9,0.0
1472,issue,-3.046656945107793e-06,-3.37e-06,3.95,28,2.9278571428571434,2.6476405,2.927857,0.2143
