,Word,Value,V.Mean.Sum
1414,fauna,-3.6830658310301376e-06,6.05
1415,maximum,-3.6818551213124717e-06,4.7
1416,war,-3.6810079654297176e-06,2.23
1417,haven,-3.679392701691311e-06,6.36
1418,listen,-3.678426242513175e-06,6.91
1419,stabilize,-3.6777587179848137e-06,5.86
1420,target,-3.677443983385513e-06,5.24
1421,race,-3.677197108929286e-06,5.44
1422,mind,-3.6770325645732487e-06,6.7
1423,curt,-3.676602216543326e-06,4.05
1424,raw,-3.6754710552374995e-06,4.37
1425,clip,-3.6754022687083645e-06,5.36
1426,portion,-3.673006921008082e-06,5.16
1427,misconduct,-3.6708293324749786e-06,3.55
1428,entirety,-3.669022301390027e-06,5.95
1429,notable,-3.6678033997610917e-06,5.95
1430,rev,-3.6657572480295933e-06,5.36
1431,anatomy,-3.662472033168681e-06,6.29
1432,fidelity,-3.662136421158276e-06,6.7
1433,thick,-3.660149428123221e-06,4.63
1434,packaging,-3.6566454868283693e-06,5.15
1435,spray,-3.6531584451228845e-06,5.06
1436,animal,-3.6522070142030408e-06,7.06
1437,tailor,-3.651514585506499e-06,5.29
1438,represent,-3.647318798707481e-06,5.43
1439,vacant,-3.646814390634301e-06,4.64
1440,hungry,-3.6464608200141814e-06,3.54
1441,resemble,-3.645580871825214e-06,5.9
1442,curriculum,-3.644967163078198e-06,5.3
1443,authenticity,-3.6447261789796367e-06,6.81
1444,memories,-3.643630318357627e-06,7.0
1445,civilized,-3.6426947486182776e-06,6.48
1446,list,-3.639743990246089e-06,5.89
1447,dung,-3.639155102384365e-06,3.86
1448,swing,-3.636461262228792e-06,6.95
1449,cleric,-3.6331026112840456e-06,4.65
1450,linguist,-3.632609653099935e-06,5.0
1451,confession,-3.6324449725367676e-06,5.47
1452,manufacturing,-3.630514244465906e-06,5.0
1453,behavioral,-3.6295681888855197e-06,5.1
1454,slow,-3.627935928477695e-06,4.0
1455,remain,-3.626884875279238e-06,5.68
1456,nonsense,-3.625932004748996e-06,4.0
1457,competition,-3.625306850961005e-06,5.33
1458,sensitive,-3.624538364029923e-06,6.33
1459,bowl,-3.6179763241285754e-06,5.67
1460,heroine,-3.616413716330674e-06,4.86
1461,dry,-3.616282832594707e-06,4.86
1462,pilot,-3.6140888882624373e-06,6.0
1463,union,-3.6138361200765436e-06,5.85
1464,hunting,-3.613666913438873e-06,4.75
1465,coordination,-3.60986570922354e-06,6.11
1466,vaccine,-3.6089005668558938e-06,6.48
1467,outrage,-3.6066805259328074e-06,2.97
1468,personality,-3.606525434814619e-06,6.14
1469,distinguish,-3.60042459883508e-06,5.26
1470,insulation,-3.5968421704390963e-06,5.37
1471,mass,-3.5918200207369346e-06,5.15
1472,legislation,-3.5898207493246704e-06,3.55
1473,teen,-3.5879515838039474e-06,5.1
1474,couple,-3.5858499655993676e-06,7.11
1475,dare,-3.5841571181943754e-06,4.67
1476,league,-3.5836764245299353e-06,5.35
1477,uneven,-3.582653548624311e-06,4.45
1478,opium,-3.5822783264061416e-06,3.42
1479,werewolf,-3.5810950794560683e-06,3.85
1480,paper,-3.5809230521718944e-06,5.42
1481,leave,-3.5804382977334263e-06,4.68
1482,ineffective,-3.5798996623876748e-06,3.11
1483,african,-3.5789833980296085e-06,6.42
1484,greyhound,-3.5776981513283936e-06,5.95
1485,democrat,-3.5773118584168178e-06,5.54
1486,population,-3.576690784597298e-06,4.81
1487,thoughtful,-3.574768794910368e-06,7.26
1488,metropolitan,-3.570163713052953e-06,5.84
1489,bark,-3.569437192321356e-06,4.86
1490,chest,-3.5676874957814063e-06,5.18
1491,incorporate,-3.5667546088302693e-06,5.37
1492,southwest,-3.5648125796739546e-06,5.8
1493,acquisition,-3.5636971316536864e-06,5.0
1494,investigation,-3.5612276198555603e-06,4.36
1495,mood,-3.559839753191568e-06,5.29
1496,parking,-3.556424432800872e-06,4.57
1497,landlord,-3.553920710608338e-06,3.5
1498,skate,-3.55383584331459e-06,6.74
1499,immediate,-3.5522265406271442e-06,5.85
1500,farmer,-3.5520438277497164e-06,6.14
1501,quarterback,-3.550062005963948e-06,5.48
1502,sporting,-3.5481400256591003e-06,6.24
1503,acute,-3.5470791719486674e-06,5.1
1504,constitutional,-3.5464722689717196e-06,5.68
1505,pure,-3.5434089638120224e-06,6.8
1506,duty,-3.5430372357156068e-06,5.33
1507,message,-3.5414204763913972e-06,6.18
1508,slash,-3.5375667398335198e-06,4.85
1509,wire,-3.536509121166878e-06,4.86
1510,amino,-3.5363735596538604e-06,4.45
1511,safeguard,-3.534842866337549e-06,5.5
1512,car,-3.5332498141496216e-06,6.63
1513,necessity,-3.5328681292079445e-06,5.32
1514,vicar,-3.5308546575662145e-06,5.5
1515,reaction,-3.5276768645706483e-06,4.68
1516,profitable,-3.5270793008005765e-06,6.5
1517,force,-3.5264428513406685e-06,4.17
1518,talk,-3.5260277668295916e-06,6.64
1519,judge,-3.5256314339313997e-06,3.89
1520,likely,-3.525039137882185e-06,6.9
1521,proceed,-3.5216690454457447e-06,5.7
1522,intention,-3.521121789394313e-06,5.58
1523,contrast,-3.51781330704787e-06,5.3
1524,outlet,-3.5173826873123442e-06,5.45
1525,lass,-3.5162395765897525e-06,5.42
1526,forbid,-3.51534841290177e-06,2.82
1527,vote,-3.5151931088680248e-06,5.24
1528,dioxide,-3.5123617613665015e-06,4.58
1529,quality,-3.5102916241494774e-06,6.86
1530,sequence,-3.5085318794924494e-06,5.84
1531,neighbor,-3.505455391745292e-06,5.6
1532,priority,-3.5035721935340607e-06,6.17
1533,ninja,-3.5006524303479372e-06,5.14
1534,zombie,-3.500242725574624e-06,3.57
1535,foot,-3.4999706560576506e-06,4.68
1536,factor,-3.499351744423267e-06,4.9
1537,bitter,-3.4990986232647184e-06,3.63
1538,blackness,-3.498489680587672e-06,3.82
1539,emerge,-3.497390786773765e-06,5.75
1540,sand,-3.497291079065879e-06,6.16
1541,alarm,-3.4965917608866435e-06,3.86
1542,influential,-3.496155617553389e-06,5.94
1543,gather,-3.494502813182014e-06,5.72
1544,blinding,-3.4935205081599676e-06,3.37
1545,stationary,-3.492470292076888e-06,5.45
1546,single,-3.4915179651912073e-06,5.39
1547,valid,-3.4913389079148372e-06,6.05
1548,face,-3.4888349400025988e-06,6.36
1549,strength,-3.4879747683944085e-06,6.73
1550,shovel,-3.4870827823191286e-06,4.8
1551,dissent,-3.4853056657475595e-06,4.8
1552,weather,-3.484812566248441e-06,6.05
1553,pair,-3.48396440906077e-06,5.95
1554,blind,-3.483373454233468e-06,2.8
1555,peninsula,-3.4833080844743256e-06,5.95
1556,relative,-3.482534151424547e-06,5.9
1557,debate,-3.481170981688837e-06,4.95
1558,barrel,-3.48074506099299e-06,4.92
1559,garbage,-3.48040708592993e-06,2.88
1560,collect,-3.4792934242509955e-06,5.9
1561,woman,-3.4788978134968745e-06,7.09
1562,ground,-3.478049692972306e-06,5.28
1563,aesthetic,-3.4759297667779263e-06,5.43
1564,applicant,-3.4746082156293192e-06,4.91
1565,profile,-3.472022714279266e-06,5.94
1566,tournament,-3.4717774115647824e-06,6.24
1567,alone,-3.4708687019356613e-06,3.85
1568,plea,-3.4680871728649036e-06,4.35
1569,worm,-3.4667683947130212e-06,4.86
1570,psycho,-3.4666597727649486e-06,3.2
1571,silly,-3.4659841721485875e-06,6.72
1572,viewer,-3.4654416596601825e-06,5.53
1573,cognitive,-3.4620184368467505e-06,5.68
1574,undermine,-3.461247369574246e-06,3.05
1575,thirty,-3.4578344439983866e-06,4.74
1576,clinical,-3.454124723718964e-06,4.82
1577,occasional,-3.453189889393056e-06,5.5
1578,tenure,-3.452285550167855e-06,4.6
1579,taxi,-3.4507298535604394e-06,4.79
1580,comedy,-3.4504036798267884e-06,8.05
1581,hub,-3.4503237348303593e-06,4.95
1582,bog,-3.4487842519211518e-06,3.57
1583,dust,-3.4469128400223587e-06,3.72
1584,dispute,-3.446007690914769e-06,2.52
1585,operator,-3.4453621495419045e-06,4.85
1586,regional,-3.4448325650030666e-06,4.95
1587,practice,-3.4446770672569815e-06,5.72
1588,exist,-3.4431660154131865e-06,5.9
1589,head,-3.44209151399722e-06,5.86
1590,fool,-3.4415117823413667e-06,3.56
1591,charge,-3.4394278615785678e-06,4.61
1592,pie,-3.4370452501744023e-06,6.45
1593,frontier,-3.4365982106640547e-06,6.53
1594,decisive,-3.4348382309072147e-06,6.78
1595,mail,-3.432800433023824e-06,6.28
1596,clock,-3.4325048364011276e-06,5.65
1597,ant,-3.4307495725989284e-06,3.9
1598,belong,-3.4305987476594664e-06,6.5
1599,example,-3.4292278367739208e-06,4.9
1600,cent,-3.427796263980968e-06,5.37
1601,survive,-3.4236087452337027e-06,6.9
1602,printing,-3.42035549804239e-06,5.35
1603,pet,-3.4197559466921533e-06,7.05
1604,indigenous,-3.4195220052461416e-06,4.75
1605,want,-3.4190061730374537e-06,6.0
1606,rainy,-3.418617978617755e-06,5.55
1607,recent,-3.4177269199333276e-06,5.42
1608,bass,-3.416490971185468e-06,5.23
1609,peasant,-3.4163042156733983e-06,4.62
1610,opinion,-3.4155916706372682e-06,6.38
1611,tropical,-3.4143116133529863e-06,7.05
1612,flex,-3.4140783517581466e-06,5.32
1613,carbon,-3.4115437811386726e-06,4.5
1614,deep,-3.411178723874404e-06,5.44
1615,resist,-3.4108740506443485e-06,3.95
1616,rid,-3.4080775999845773e-06,3.67
1617,marital,-3.406859607669547e-06,5.24
1618,ratio,-3.4041925780920377e-06,4.68
1619,arrival,-3.4037717544790053e-06,6.67
1620,continuation,-3.3999993104827375e-06,5.23
1621,obscure,-3.3990046065619436e-06,5.15
1622,strip,-3.3978972029757704e-06,4.68
1623,needle,-3.3962228541082697e-06,3.97
1624,situation,-3.395137905180573e-06,5.33
1625,arrive,-3.3938185449213414e-06,6.41
1626,angle,-3.3921070870523984e-06,4.55
1627,binoculars,-3.3855049786534534e-06,5.57
1628,eat,-3.3841352095385635e-06,7.1
1629,consistent,-3.3836472696090658e-06,6.43
1630,letter,-3.3831464640497618e-06,5.68
1631,enemy,-3.382543345314034e-06,2.22
1632,vodka,-3.38106749753093e-06,5.68
1633,dusty,-3.3810171759333465e-06,3.95
1634,compare,-3.3803081737434408e-06,5.09
1635,cervical,-3.378354148745692e-06,4.67
1636,prosecution,-3.378140931033687e-06,3.37
1637,leg,-3.377058953397624e-06,6.22
1638,activate,-3.376317186200295e-06,5.7
1639,sting,-3.3758509651038437e-06,2.55
1640,write,-3.3706367334210577e-06,6.45
1641,issue,-3.370189506752085e-06,3.95
1642,edit,-3.3695239582502237e-06,4.95
1643,scan,-3.3692209093910686e-06,5.47
1644,protective,-3.368512276484085e-06,6.53
1645,ski,-3.3677156628826124e-06,5.91
1646,fictional,-3.366956932806161e-06,5.95
1647,main,-3.3659290680731195e-06,5.27
1648,capitalism,-3.364785507294925e-06,3.62
1649,patrol,-3.3634788818630177e-06,4.04
1650,administrator,-3.3628977748612066e-06,5.32
1651,primary,-3.36055654354692e-06,5.32
1652,justification,-3.3600983996863974e-06,5.68
1653,exhaust,-3.3583072078775656e-06,4.0
1654,property,-3.357879226614747e-06,6.0
1655,hoop,-3.3563505224913173e-06,6.26
1656,mercury,-3.3560142816228358e-06,5.67
1657,cow,-3.3556735575488808e-06,5.42
1658,seal,-3.3551559957625823e-06,5.0
1659,region,-3.3548561177977685e-06,5.21
1660,analytical,-3.3528205601989396e-06,6.0
1661,spur,-3.352298926926483e-06,5.0
1662,cut,-3.349061527970511e-06,3.9
1663,assess,-3.348711335493931e-06,5.84
1664,proof,-3.3463508179252895e-06,6.38
1665,bullet,-3.3445274867880772e-06,3.45
1666,opponent,-3.3433633619276802e-06,4.42
1667,obesity,-3.343273628812297e-06,2.81
1668,roam,-3.3425326202545422e-06,4.89
1669,hint,-3.3420981445161694e-06,6.05
1670,obvious,-3.338379885594004e-06,5.33
1671,pen,-3.336192316368765e-06,5.63
1672,affect,-3.3350858478259927e-06,5.65
1673,due,-3.334558753214638e-06,4.94
1674,photograph,-3.3338238476880258e-06,6.61
1675,cite,-3.332467854275563e-06,4.95
1676,decorative,-3.3315399308522786e-06,7.52
1677,cost,-3.3306185943212985e-06,4.11
1678,mound,-3.3275909776329304e-06,5.43
1679,bomb,-3.3269592555077325e-06,2.47
1680,adobe,-3.3264181761562843e-06,5.25
1681,annoyed,-3.322730800360089e-06,2.8
1682,organic,-3.321388740040732e-06,5.55
1683,inherent,-3.321216257657417e-06,5.95
1684,corner,-3.3184018671717422e-06,4.83
1685,roommate,-3.3181953869680183e-06,5.29
1686,inmate,-3.31566997884003e-06,2.67
1687,conflicting,-3.3120792702160764e-06,3.5
1688,precedent,-3.3116664976777046e-06,5.25
1689,recognize,-3.3115154589286818e-06,6.14
1690,aid,-3.3090738238316786e-06,6.29
1691,pants,-3.308690447216082e-06,5.62
1692,mayor,-3.3079098798161303e-06,4.59
1693,command,-3.30738585771322e-06,4.19
1694,porch,-3.3054906954487163e-06,6.4
1695,software,-3.304552973974606e-06,6.37
1696,oxygen,-3.304333613831275e-06,7.25
1697,mil,-3.2992677788297917e-06,4.85
1698,dual,-3.297524872298116e-06,5.14
1699,ex,-3.296294153157576e-06,2.7
1700,destructive,-3.294574510350213e-06,3.11
1701,bop,-3.2931551091029223e-06,5.63
1702,rein,-3.292974968269345e-06,4.79
1703,length,-3.291909102682666e-06,5.21
1704,pope,-3.2892948335731345e-06,5.18
1705,rite,-3.2891889616114742e-06,5.58
1706,yellow,-3.288609825378279e-06,6.09
1707,heel,-3.287198461224272e-06,4.63
1708,management,-3.2869986056115027e-06,4.95
1709,code,-3.286661270416868e-06,4.67
1710,silence,-3.2853954758455516e-06,5.25
1711,perpetual,-3.2834290018954945e-06,5.75
1712,labor,-3.2809720502993872e-06,4.74
1713,slit,-3.28092215988914e-06,4.26
1714,parallel,-3.2800986112108133e-06,5.29
1715,phone,-3.2798609511602832e-06,6.09
1716,malice,-3.2784588462943707e-06,2.81
1717,liter,-3.2758706177826494e-06,4.37
1718,elbow,-3.2746521910425537e-06,5.38
1719,analyst,-3.274524624910513e-06,5.0
1720,humanoid,-3.273907957067855e-06,4.52
1721,forehead,-3.2734828382558847e-06,5.04
1722,nude,-3.2727823791091812e-06,6.1
1723,association,-3.272758320316943e-06,5.5
1724,press,-3.2716298026483254e-06,5.39
1725,swirl,-3.270786732100424e-06,6.45
1726,comparison,-3.2681764413667656e-06,5.11
1727,dim,-3.2645091107529056e-06,3.37
1728,ruling,-3.2623574236008857e-06,4.22
1729,realm,-3.2612955126594476e-06,5.39
1730,validity,-3.259490327964243e-06,5.38
1731,rib,-3.259370659975376e-06,6.1
1732,external,-3.25935148661445e-06,5.37
1733,rubbish,-3.2593188498817375e-06,3.39
1734,politics,-3.259223051101564e-06,4.0
1735,colon,-3.257126467038567e-06,4.04
1736,pile,-3.2563487791341383e-06,4.74
1737,speech,-3.255713744722637e-06,5.62
1738,duke,-3.25534273220666e-06,4.8
1739,responsibility,-3.254370472917282e-06,4.68
1740,institution,-3.2509477134456467e-06,4.0
1741,pamphlet,-3.249958100637329e-06,4.37
1742,inadequate,-3.249419217204082e-06,2.57
1743,frantic,-3.249028498152207e-06,3.79
1744,forty,-3.2477343554194148e-06,5.0
1745,listener,-3.246816644491187e-06,6.1
1746,do,-3.2463434679104185e-06,5.41
1747,pan,-3.24476779433352e-06,5.15
1748,flawed,-3.244002555873963e-06,3.74
1749,semi,-3.2438230398476902e-06,5.57
1750,ordinary,-3.2437053094219737e-06,5.05
1751,magnitude,-3.236922395323238e-06,5.1
1752,combat,-3.2351059130695625e-06,2.95
1753,journalist,-3.2347522205220898e-06,5.3
1754,vacuum,-3.2325684623548826e-06,5.38
1755,dominance,-3.2324931012808755e-06,5.19
1756,beast,-3.232075396495763e-06,4.42
1757,traffic,-3.2316134089467364e-06,2.18
1758,attendance,-3.230458309663268e-06,5.95
1759,parent,-3.2300103491581586e-06,6.73
1760,video,-3.2285715613406986e-06,6.64
1761,bomber,-3.228455955659598e-06,2.84
1762,reasonable,-3.2234934269726206e-06,6.84
1763,stir,-3.219866590432422e-06,5.35
1764,red,-3.2168804311273183e-06,5.67
1765,chuck,-3.2147215352033394e-06,5.06
1766,driver,-3.2142063019914567e-06,6.39
1767,clown,-3.2135138224032023e-06,5.36
1768,week,-3.2128851155085222e-06,5.27
1769,bureau,-3.2114631553628015e-06,4.7
1770,basic,-3.2110066091932654e-06,5.5
1771,progression,-3.2060084134212462e-06,6.21
1772,barrier,-3.205803682369063e-06,4.47
1773,sleeve,-3.2052938196020877e-06,5.95
1774,pitch,-3.2045549105581823e-06,5.52
1775,semester,-3.204423117335628e-06,5.0
1776,sheet,-3.2038691082616727e-06,5.57
1777,afford,-3.201965452012847e-06,6.56
1778,mess,-3.2001303205966953e-06,3.5
1779,examine,-3.1972856684485408e-06,5.61
1780,shoot,-3.1960208059427345e-06,3.5
1781,sport,-3.1924773758010765e-06,6.95
1782,government,-3.191706884217583e-06,3.78
1783,memorable,-3.1906797612320082e-06,6.54
1784,aerial,-3.1858585223069427e-06,6.04
1785,demo,-3.1850763085426955e-06,5.65
1786,secondary,-3.1833085939268063e-06,4.77
1787,currency,-3.18224803180968e-06,5.9
1788,need,-3.1803811248577176e-06,5.45
1789,recall,-3.17865977053548e-06,4.77
1790,maneuver,-3.177579126360334e-06,4.63
1791,crypt,-3.1765300311838622e-06,2.67
1792,campaign,-3.1762155015354087e-06,4.55
1793,twelve,-3.1760464434769467e-06,5.32
1794,contest,-3.175556223077179e-06,5.85
1795,espionage,-3.1737247310598647e-06,4.05
1796,seasoned,-3.173083674261797e-06,7.16
1797,teammate,-3.1685222409109696e-06,6.2
1798,thrust,-3.1684539380609036e-06,5.75
1799,prison,-3.16838960679569e-06,1.94
1800,theft,-3.1665425732722388e-06,2.6
1801,pending,-3.1618823538072847e-06,3.79
1802,sip,-3.161619309577368e-06,5.38
1803,alcoholic,-3.1615638885278805e-06,2.49
1804,headquarters,-3.16056445419724e-06,4.95
1805,wake,-3.1587930043608845e-06,6.57
1806,nominate,-3.158214370406476e-06,5.86
1807,triumphant,-3.1574521726097e-06,7.45
1808,karma,-3.1556160757229e-06,6.28
1809,plot,-3.15544407161839e-06,4.9
1810,patriot,-3.1539406194214248e-06,5.8
1811,hooker,-3.1520868208754275e-06,3.42
1812,workings,-3.1518488389191412e-06,5.5
1813,mild,-3.151110448909849e-06,5.9
1814,yen,-3.149018876555156e-06,5.0
1815,article,-3.148514943993899e-06,5.68
1816,split,-3.1475655128956048e-06,4.5
1817,address,-3.1471469934235283e-06,6.11
1818,deliberate,-3.1468266475977633e-06,4.8
1819,chassis,-3.1466869558378677e-06,5.0
1820,sub,-3.1452074901909443e-06,5.0
1821,minister,-3.1441586286413426e-06,5.0
1822,kickoff,-3.1417856165722826e-06,4.95
1823,protestant,-3.1414769255065185e-06,4.5
1824,transformation,-3.1401165563441966e-06,6.14
1825,deer,-3.1388935896191045e-06,6.89
1826,weaken,-3.137528286893676e-06,3.3
1827,meaning,-3.13622631625581e-06,6.45
1828,flaming,-3.136066510569201e-06,4.64
1829,sixty,-3.135475694288648e-06,4.7
1830,rebel,-3.134794235809766e-06,4.37
1831,density,-3.133891071223823e-06,5.15
1832,advice,-3.1328748270910683e-06,5.78
1833,nerve,-3.1321777877611907e-06,4.45
1834,say,-3.1315891462250867e-06,5.91
1835,brick,-3.131371950315037e-06,4.65
1836,quick,-3.1288140863004448e-06,6.08
1837,election,-3.1287422915826557e-06,4.5
1838,different,-3.1272689164645163e-06,5.91
1839,require,-3.126798447186089e-06,4.74
1840,declare,-3.1261143760656176e-06,5.42
1841,action,-3.123516628458851e-06,6.0
1842,brain,-3.123157230975421e-06,6.22
1843,funding,-3.1231547554356205e-06,5.45
1844,pay,-3.1214397120483143e-06,6.23
1845,heck,-3.121437951845533e-06,4.29
1846,ambassador,-3.121369220116891e-06,5.5
1847,cap,-3.1181637668594434e-06,5.0
1848,post,-3.117532503289924e-06,5.05
1849,opposite,-3.1154104697578794e-06,4.77
1850,apologetic,-3.1140082379629264e-06,6.65
1851,memorial,-3.1138598104931316e-06,5.72
1852,trustee,-3.1118959606252217e-06,5.84
1853,penetrate,-3.1108872360375663e-06,5.71
1854,replace,-3.1096014316502274e-06,5.56
1855,jade,-3.107767823763676e-06,6.25
1856,drag,-3.1069780623225094e-06,3.68
1857,fifteen,-3.1062720570081137e-06,4.94
1858,amend,-3.1060080513696986e-06,5.85
1859,relationship,-3.1056739099214205e-06,7.83
1860,tribe,-3.1055113045204883e-06,5.63
1861,emotion,-3.1034034371907326e-06,6.62
1862,corporal,-3.1013635553883893e-06,4.63
1863,continuous,-3.1007965728991707e-06,5.33
1864,law,-3.100029841152854e-06,4.55
1865,moderate,-3.0975257254787134e-06,5.52
1866,savage,-3.0972384858259324e-06,4.29
1867,seventy,-3.095779043116309e-06,4.55
1868,criticism,-3.094707775915783e-06,3.84
1869,maintenance,-3.0944428627502224e-06,5.95
1870,buddy,-3.0939967233644533e-06,7.41
1871,communism,-3.0929966099574324e-06,2.94
1872,mean,-3.0929906422903074e-06,2.43
1873,profound,-3.091914165676233e-06,6.65
1874,neutral,-3.0915426099213197e-06,5.5
1875,emphasis,-3.0909847140831413e-06,5.26
1876,meantime,-3.089981029792225e-06,4.44
1877,ten,-3.088087801751451e-06,5.16
1878,psychology,-3.0865765958890243e-06,4.81
1879,junior,-3.0862904892292597e-06,5.36
1880,mile,-3.078771428361528e-06,4.78
1881,fairness,-3.07804930557738e-06,7.48
1882,giant,-3.07761480218179e-06,5.41
1883,infrastructure,-3.076404212484322e-06,5.14
1884,boat,-3.07438015850302e-06,6.36
1885,conversation,-3.074227097064687e-06,6.72
1886,sect,-3.073380664321094e-06,3.81
1887,relocate,-3.069451666049761e-06,4.05
1888,general,-3.0678442233764025e-06,5.32
1889,manifest,-3.064900385864977e-06,4.81
1890,studio,-3.0644172006141005e-06,6.24
1891,realistic,-3.0638995038544115e-06,5.89
1892,beneficial,-3.063595152005518e-06,6.61
1893,lawsuit,-3.0607495962939324e-06,2.84
1894,desk,-3.0600316840920188e-06,5.56
1895,understand,-3.0598425290367857e-06,6.68
1896,loan,-3.0592980679497814e-06,4.19
1897,mouth,-3.0585987602282385e-06,5.59
1898,prostitution,-3.057963710806355e-06,2.79
1899,muscle,-3.0578512525934742e-06,6.15
1900,baggage,-3.0571119538080893e-06,4.5
1901,hollow,-3.0560363455439816e-06,4.67
1902,log,-3.055657428081375e-06,4.94
1903,power,-3.054924594230807e-06,5.97
1904,major,-3.0542294852411313e-06,5.52
1905,squeeze,-3.0535950477938e-06,4.85
1906,hypothesis,-3.0525799833147627e-06,5.78
1907,guiding,-3.051873189894675e-06,5.73
1908,sentiment,-3.0510064434145314e-06,6.2
1909,seem,-3.0484336868544876e-06,5.45
1910,importance,-3.047675187629678e-06,6.39
1911,odor,-3.046979760466806e-06,3.0
1912,oil,-3.0454924571031114e-06,3.91
1913,rejected,-3.042245125888284e-06,2.4
1914,cynical,-3.0403132366332622e-06,3.3
1915,difficult,-3.0399917397651235e-06,3.78
1916,dignity,-3.0358705047153767e-06,7.2
1917,scheme,-3.0349855753165206e-06,3.8
1918,choice,-3.0346853987709195e-06,6.36
1919,pass,-3.033477095509083e-06,5.73
1920,flesh,-3.033373031791823e-06,5.2
1921,eventual,-3.0310291328159342e-06,5.05
1922,rage,-3.02999064238918e-06,2.5
1923,soil,-3.029502156941651e-06,5.21
1924,pension,-3.029400386415452e-06,6.19
1925,olive,-3.0272949234176386e-06,6.05
1926,massive,-3.0269414790538624e-06,5.18
1927,inquiry,-3.026490706693421e-06,5.09
1928,direct,-3.0255378637361054e-06,5.75
1929,lifestyle,-3.025062365244946e-06,5.95
1930,shark,-3.0240672062401925e-06,4.02
1931,rust,-3.021863473598551e-06,4.05
1932,deal,-3.0217971727279722e-06,6.14
1933,collector,-3.0207495901688254e-06,5.27
1934,psi,-3.019105690213464e-06,4.59
1935,earnings,-3.0185231244730887e-06,6.37
1936,email,-3.0175739619680655e-06,6.0
1937,indicative,-3.0160768496491123e-06,4.71
1938,coat,-3.01481266532553e-06,5.29
1939,chord,-3.0145017220271447e-06,5.75
1940,hide,-3.0119609549607676e-06,4.9
1941,status,-3.010722616283122e-06,4.89
1942,sewage,-3.010631946099666e-06,2.33
1943,watery,-3.0095906863823276e-06,4.79
1944,breath,-3.008789840156766e-06,6.61
1945,vogue,-3.0079710312963526e-06,5.61
1946,standard,-3.006578083096881e-06,4.76
1947,executive,-3.001014501686413e-06,4.95
1948,experimental,-3.0007076449687733e-06,5.65
1949,conflict,-2.9979365858508257e-06,3.05
1950,voice,-2.9969315267652954e-06,6.5
1951,absence,-2.994518121648199e-06,3.86
1952,offset,-2.9925771843927177e-06,4.79
1953,would,-2.9918127768054018e-06,5.91
1954,illumination,-2.990322597207218e-06,6.84
1955,brew,-2.990027167841062e-06,5.42
1956,sink,-2.9891831789013696e-06,4.62
1957,estate,-2.986047575986603e-06,5.65
1958,shower,-2.984919202780878e-06,7.19
1959,independence,-2.9844687847550844e-06,7.53
1960,system,-2.9837479914180303e-06,5.5
1961,gambling,-2.9831845114130297e-06,2.89
1962,newspaper,-2.9829922639694322e-06,5.11
1963,abdomen,-2.9808499216466e-06,5.43
1964,metal,-2.9752863229447783e-06,5.05
1965,four,-2.975069277020681e-06,5.26
1966,probe,-2.9743831606853396e-06,3.63
1967,plant,-2.972558539897594e-06,7.05
1968,expense,-2.968125160334055e-06,3.9
1969,avoid,-2.966247471499648e-06,4.1
1970,include,-2.966214542280401e-06,6.39
1971,fellow,-2.9645013185780607e-06,6.28
1972,inhuman,-2.963945269429206e-06,3.18
1973,maker,-2.9637588375856987e-06,5.74
1974,marginal,-2.9626967589409248e-06,4.6
1975,conversion,-2.96267249247911e-06,5.59
1976,ignore,-2.9626460636459775e-06,3.33
1977,significance,-2.959634455006188e-06,6.21
1978,witness,-2.958250680546667e-06,5.61
1979,fit,-2.9579735254663923e-06,6.28
1980,sexual,-2.9577358912938335e-06,6.64
1981,conscience,-2.9556781103908434e-06,5.9
1982,ward,-2.954590390837912e-06,4.43
1983,cycle,-2.954500793723848e-06,5.64
1984,final,-2.9541671409115343e-06,4.56
1985,like,-2.9534194785101985e-06,7.44
1986,coalition,-2.9533890982822826e-06,4.9
1987,monopoly,-2.9507355863804077e-06,5.29
1988,deposit,-2.950089913626141e-06,6.25
1989,scout,-2.9489186200066094e-06,6.0
1990,symbol,-2.9469092266699623e-06,5.67
1991,chemical,-2.9444375670078454e-06,4.89
1992,billing,-2.944375818429712e-06,3.23
1993,kid,-2.943454880339731e-06,7.23
1994,intense,-2.940939710170676e-06,5.65
1995,nutrition,-2.9407367041119534e-06,6.86
1996,publishing,-2.9406065096110636e-06,5.14
1997,knife,-2.9391648958990806e-06,4.33
1998,shake,-2.9390996923244853e-06,4.59
1999,rental,-2.9366398315372575e-06,4.58
2000,sound,-2.9366030372136457e-06,6.45
2001,ballot,-2.9347932701239038e-06,5.29
2002,reason,-2.934289991003418e-06,6.27
2003,finish,-2.9322267686363265e-06,6.41
2004,electronics,-2.931928668924745e-06,6.5
2005,control,-2.9313385902683047e-06,4.43
2006,onset,-2.9301254874936067e-06,4.35
2007,reform,-2.9297246824340947e-06,5.05
2008,animated,-2.9274502047251425e-06,6.65
2009,obsession,-2.9270386560727323e-06,4.38
2010,land,-2.925718826534966e-06,6.61
2011,broadcast,-2.9247707815568493e-06,4.89
2012,inspire,-2.923592393515769e-06,7.42
2013,rhythmic,-2.9224360830563496e-06,6.3
2014,result,-2.920842897101208e-06,6.11
2015,memory,-2.919738313905089e-06,6.58
2016,punk,-2.919700401035156e-06,4.25
2017,report,-2.919693980706905e-06,4.77
2018,try,-2.9187585375441456e-06,5.64
