"feat","avg(vad_eb.V)","avg(vad_eb.A)","avg(vad_eb.D)","avg(vad_eb.V > 3)","avg(vad_eb.A > 3)","avg(vad_eb.D > 3)"
"bothersome","2.600000","2.800000","2.900000","0.0000","0.0000","0.0000"
"bottle","3.068333","3.070000","3.103333","0.4167","0.4167","0.7500"
"bottles","3.033333","2.866667","3.033333","0.3333","0.0000","0.3333"
"bottom","2.742500","3.100000","2.877500","0.2500","0.2500","0.2500"
"bottom-dwelling","3.000000","2.890000","3.110000","0.0000","0.0000","1.0000"
"bought","2.917143","3.031429","3.101429","0.4286","0.2857","0.5714"
"boulder","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"boule","3.400000","3.100000","3.100000","1.0000","1.0000","1.0000"
"boulevard","2.940000","2.795000","3.060000","0.0000","0.0000","0.5000"
"bounced","3.120000","2.880000","3.000000","1.0000","0.0000","0.0000"
"bouncing","3.250000","2.880000","3.120000","1.0000","0.0000","1.0000"
"bound","3.050000","2.995000","3.055000","0.5000","0.5000","0.5000"
"boundaries","3.100000","3.200000","3.200000","1.0000","1.0000","1.0000"
"boundary","3.050000","2.900000","3.006667","0.3333","0.1667","0.3333"
"bounds","3.040000","2.985000","3.125000","0.5000","0.5000","0.5000"
"bounties","2.600000","3.300000","2.700000","0.0000","1.0000","0.0000"
"bountiful","3.700000","3.100000","3.400000","1.0000","1.0000","1.0000"
"bourgeois","3.100000","2.850000","2.900000","0.5000","0.5000","0.0000"
"bourgeoisie","2.966667","2.853333","2.946667","0.0000","0.0000","0.3333"
"bout","2.900000","2.700000","3.000000","0.0000","0.0000","0.0000"
"boutique","2.180000","3.270000","2.630000","0.0000","1.0000","0.0000"
"boutiques","3.300000","2.950000","3.000000","1.0000","0.5000","0.5000"
"bowed","3.140000","3.140000","3.140000","1.0000","1.0000","1.0000"
"bowen","3.200000","3.200000","3.200000","1.0000","1.0000","1.0000"
"bowl","2.995000","3.065000","3.202500","0.5000","0.5000","1.0000"
"bowl's","3.100000","3.100000","2.900000","1.0000","1.0000","0.0000"
"bowling","2.716667","3.050000","2.933333","0.1667","0.5000","0.3333"
"bowling's","3.250000","3.000000","3.120000","1.0000","0.0000","1.0000"
"bowls","3.265000","3.150000","3.260000","0.5000","0.5000","1.0000"
"bows","3.000000","3.000000","3.200000","0.0000","0.0000","1.0000"
"box","3.013500","2.966000","3.055500","0.3500","0.2500","0.5500"
"boxes","3.000000","3.200000","3.000000","0.0000","1.0000","0.0000"
"boy","2.810476","3.177143","2.996667","0.2381","0.5238","0.4762"
"boy's","2.673333","3.250000","3.183333","0.3333","1.0000","1.0000"
"boycott","2.885000","3.035000","3.222500","0.2500","0.2500","0.7500"
"boyhood","3.022500","2.995000","2.927500","0.2500","0.2500","0.0000"
"boys","3.115385","3.220000","3.120000","0.5385","0.5385","0.6923"
"bp","2.800000","3.000000","3.200000","0.0000","0.0000","1.0000"
"braced","2.890000","3.535000","2.865000","0.0000","1.0000","0.5000"
"bracketed","3.050000","2.900000","2.900000","0.5000","0.0000","0.0000"
"brad","3.000000","2.900000","3.100000","0.0000","0.0000","0.5000"
"bradley","2.600000","3.100000","2.800000","0.0000","1.0000","0.0000"
"braff","2.710000","3.000000","2.710000","0.0000","0.0000","0.0000"
"brag","2.700000","3.000000","3.100000","0.0000","0.0000","1.0000"
"bragging","3.000000","2.870000","3.120000","0.0000","0.0000","1.0000"
"braids","3.100000","2.900000","3.200000","1.0000","0.0000","1.0000"
"brain","3.002500","3.098000","3.035000","0.4000","0.5000","0.5000"
"braised","3.100000","2.800000","3.100000","1.0000","0.0000","1.0000"
"braitenberg","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"branch","2.966250","2.976250","3.028750","0.3750","0.3750","0.3750"
"branched","3.000000","3.000000","3.120000","0.0000","0.0000","1.0000"
"branches","2.936000","2.876000","2.918000","0.4000","0.2000","0.3000"
"branching","3.400000","3.300000","3.100000","1.0000","1.0000","1.0000"
"brand","3.000000","3.034444","3.058889","0.5556","0.6667","0.5556"
"brand-new","3.800000","3.200000","3.200000","1.0000","1.0000","1.0000"
"brandon","3.050000","2.650000","3.050000","0.5000","0.0000","0.5000"
"brands","2.517500","3.195000","3.135000","0.0000","0.7500","0.5000"
"brave","2.675000","2.885000","2.725000","0.0000","0.0000","0.0000"
"braves","2.550000","2.900000","3.150000","0.0000","0.0000","1.0000"
"bray","3.100000","2.900000","3.100000","1.0000","0.0000","1.0000"
"brazil","3.030000","3.258333","3.008333","0.5000","0.8333","0.5000"
"bread","2.900000","3.100000","3.000000","0.5000","0.5000","0.5000"
"bread-heavy","2.600000","2.900000","2.700000","0.0000","0.0000","0.0000"
"breadth","3.400000","3.100000","3.300000","1.0000","1.0000","1.0000"
"break","3.107857","3.020000","3.158571","0.5000","0.3571","0.7143"
"breakdown","3.110000","3.000000","3.220000","1.0000","0.0000","1.0000"
"breaking","2.600000","3.075000","2.905000","0.2500","0.5000","0.5000"
"breaks","3.040000","2.860000","3.060000","0.6000","0.0000","0.4000"
"breakthrough","3.740000","3.600000","3.325000","1.0000","1.0000","1.0000"
"breakup","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"breast","3.364286","3.194286","3.160000","0.8571","0.5714","0.7143"
"breasts","3.187500","3.305000","2.962500","0.7500","0.7500","0.2500"
"breath","2.722500","3.115000","2.922500","0.0000","0.6250","0.5000"
"breathe","2.926667","3.033333","2.876667","0.6667","0.3333","0.3333"
"breathed","2.860000","3.225000","2.925000","0.0000","0.5000","0.5000"
"breathing","3.050000","3.250000","3.175000","0.5000","0.7500","0.7500"
"breaths","2.550000","2.730000","2.730000","0.0000","0.0000","0.0000"
"breathtaking","3.295000","3.120000","3.000000","1.0000","1.0000","0.0000"
"bred","2.900000","2.785000","3.415000","0.0000","0.0000","1.0000"
"breed","3.000000","3.200000","3.000000","0.0000","1.0000","0.0000"
"breeding","2.922500","3.060000","3.097500","0.2500","0.5000","0.5000"
"breeze","3.114000","2.872000","3.008000","0.6000","0.0000","0.4000"
"breezes","3.000000","3.250000","3.120000","0.0000","1.0000","1.0000"
"brew","3.500000","3.500000","3.300000","1.0000","1.0000","1.0000"
"brewers","3.053333","2.750000","3.113333","0.6667","0.0000","0.6667"
"brian","3.500000","3.340000","3.100000","0.5000","0.5000","0.5000"
"bribery","2.700000","3.100000","3.300000","0.0000","1.0000","1.0000"
"brick","3.200000","2.850000","3.100000","0.5000","0.0000","0.5000"
"brick-windowed","3.000000","3.100000","3.200000","0.0000","1.0000","1.0000"
"bride","2.700000","2.900000","3.100000","0.0000","0.0000","1.0000"
"bridge","3.066364","3.060000","3.102727","0.7273","0.2727","0.6364"
"bridge-jump","2.360000","2.910000","2.820000","0.0000","0.0000","0.0000"
"bridges","3.157500","3.212500","3.185000","0.7500","0.7500","0.7500"
"brief","2.898750","2.891250","3.072500","0.2500","0.1250","0.6250"
"briefed","2.890000","3.000000","3.330000","0.0000","0.0000","1.0000"
"briefing","2.700000","2.900000","2.900000","0.0000","0.0000","0.0000"
"briefly","3.100000","3.100000","3.300000","1.0000","1.0000","1.0000"
"briefs","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"brigham","3.000000","2.900000","3.100000","0.0000","0.0000","0.5000"
"bright","3.058571","3.071429","3.027143","0.5714","0.5714","0.5714"
"brightly","3.250000","3.050000","3.000000","1.0000","0.5000","0.5000"
"brilla","2.900000","3.000000","3.200000","0.0000","0.0000","1.0000"
"brilliant","3.013333","2.900000","2.980000","0.3333","0.0000","0.3333"
"brilliantly","2.780000","3.000000","3.110000","0.0000","0.0000","1.0000"
"bring","2.976071","3.087500","3.100357","0.3929","0.6071","0.5357"
"bringer","3.000000","3.110000","3.000000","0.0000","1.0000","0.0000"
"bringing","3.102857","3.058571","3.052857","0.5714","0.2857","0.4286"
"brings","2.951429","2.962143","3.082857","0.3571","0.3571","0.5714"
"brining","2.700000","3.200000","3.000000","0.0000","1.0000","0.0000"
"bristles","3.570000","3.570000","3.290000","1.0000","1.0000","1.0000"
"brit","3.440000","3.110000","3.110000","1.0000","1.0000","1.0000"
"britain","2.524286","3.055714","3.024286","0.0000","0.7143","0.4286"
"brith","2.440000","3.000000","2.780000","0.0000","0.0000","0.0000"
"british","3.005000","3.045000","3.025000","0.5714","0.4286","0.3571"
"briton","2.600000","3.000000","3.100000","0.0000","0.0000","1.0000"
"britons","2.570000","3.140000","3.430000","0.0000","1.0000","1.0000"
"broached","2.750000","3.120000","2.880000","0.0000","1.0000","0.0000"
"broad","2.800000","3.033333","2.866667","0.3333","0.3333","0.3333"
"broadcast","2.766667","3.033333","2.966667","0.0000","0.3333","0.3333"
"broadcasting","3.220000","3.110000","3.110000","1.0000","1.0000","1.0000"
"broaden","2.890000","2.780000","2.890000","0.0000","0.0000","0.0000"
"broader","2.890000","3.000000","3.110000","0.0000","0.0000","1.0000"
"broadest","3.300000","3.100000","3.200000","1.0000","1.0000","1.0000"
"broadly","3.090000","2.910000","3.000000","1.0000","0.0000","0.0000"
"broadway","3.033333","2.506667","3.000000","0.3333","0.0000","0.0000"
"brocades","3.000000","2.820000","3.000000","0.0000","0.0000","0.0000"
"brochure","3.290000","3.000000","3.200000","1.0000","0.3333","0.6667"
"brochures","3.140000","2.860000","3.290000","1.0000","0.0000","1.0000"
"broke","2.686667","3.353333","2.775000","0.1667","1.0000","0.1667"
"broken","2.573000","3.250000","3.018000","0.1000","1.0000","0.7000"
"brokers","3.330000","3.220000","2.890000","1.0000","1.0000","0.0000"
"bronco","2.600000","2.800000","3.300000","0.0000","0.0000","1.0000"
"bronx","2.800000","2.600000","3.200000","0.0000","0.0000","1.0000"
"bronze","3.025000","2.922500","3.088750","0.5000","0.2500","0.7500"
"bronzes","3.200000","3.050000","3.150000","1.0000","0.5000","0.5000"
"brood","2.940000","2.750000","3.000000","0.0000","0.0000","0.0000"
"brother","3.033333","3.000000","3.050000","0.3333","0.3333","0.3333"
"brothers","2.972857","2.970000","2.984286","0.2857","0.2857","0.2857"
"brought","3.176667","3.127619","3.110476","0.5714","0.5238","0.6190"
"brow","2.533333","3.266667","2.866667","0.0000","1.0000","0.0000"
"brown","2.995000","3.000000","3.180000","0.5000","0.2500","0.7500"
"brown's","2.390000","2.890000","2.800000","0.0000","0.0000","0.5000"
"browne","2.800000","3.000000","3.200000","0.0000","0.0000","1.0000"
"brows","3.000000","2.900000","3.100000","0.0000","0.0000","1.0000"
"browse","2.953333","2.893333","3.186667","0.3333","0.0000","0.6667"
"browsing","3.860000","3.430000","3.290000","1.0000","1.0000","1.0000"
"bruce","2.600000","3.200000","3.100000","0.0000","1.0000","1.0000"
"brunch","2.900000","2.900000","2.800000","0.0000","0.0000","0.0000"
"brutally","2.600000","3.400000","2.800000","0.0000","1.0000","0.0000"
"brute","2.800000","3.100000","2.950000","0.0000","1.0000","0.5000"
"bryant's","3.200000","2.900000","3.300000","1.0000","0.0000","1.0000"
"bs","2.855000","3.280000","2.770000","0.0000","1.0000","0.0000"
"btw","4.000000","3.600000","3.100000","1.0000","1.0000","1.0000"
"btyh","2.890000","2.890000","3.000000","0.0000","0.0000","0.0000"
"bubble","2.880000","2.880000","2.880000","0.0000","0.0000","0.0000"
"bubbled","3.000000","3.100000","3.000000","0.0000","1.0000","0.0000"
"bubbling","2.695000","2.990000","2.845000","0.0000","0.5000","0.0000"
"bubonic","3.100000","3.200000","3.200000","1.0000","1.0000","1.0000"
"buchanan","2.270000","3.180000","2.910000","0.0000","1.0000","0.0000"
"buck","2.983333","3.206667","3.333333","0.3333","1.0000","1.0000"
"buckled","2.500000","3.200000","2.600000","0.0000","1.0000","0.0000"
"bucs","3.200000","3.050000","3.250000","1.0000","0.5000","1.0000"
"budapest","2.900000","3.000000","2.600000","0.0000","0.0000","0.0000"
"buddha","3.023333","3.026667","2.976667","0.3333","0.3333","0.1667"
"buddhas","3.000000","3.140000","3.140000","0.0000","1.0000","1.0000"
"buddhism","3.000000","3.000000","3.200000","0.0000","0.0000","1.0000"
"buddhist","3.076364","2.931818","2.983636","0.3636","0.2727","0.1818"
"buddies","3.050000","3.000000","3.070000","0.5000","0.0000","0.5000"
"buddy","2.750000","3.200000","3.150000","0.0000","1.0000","0.5000"
"budget","2.947500","2.972500","3.052500","0.2500","0.0000","0.5000"
"buell","2.910000","3.105000","3.055000","0.5000","1.0000","0.5000"
"buff","3.100000","3.100000","3.100000","1.0000","1.0000","1.0000"
"buffalo","3.380000","3.370000","3.250000","1.0000","1.0000","1.0000"
"buffet-style","3.000000","3.000000","3.120000","0.0000","0.0000","1.0000"
"buffs","3.185000","3.135000","3.140000","1.0000","1.0000","1.0000"
"buffy","3.050000","3.160000","2.950000","0.5000","1.0000","0.0000"
"buffy's","2.950000","3.060000","3.000000","0.0000","0.5000","0.0000"
"bugsy","3.000000","2.880000","3.120000","0.0000","0.0000","1.0000"
"build","3.118571","3.102143","3.177143","0.6429","0.5714","0.7143"
"build-up","2.500000","3.170000","2.830000","0.0000","1.0000","0.0000"
"builder","3.110000","2.940000","3.000000","1.0000","0.0000","0.0000"
"building","2.987692","2.997500","3.049423","0.3077","0.3654","0.3846"
"buildings","3.040769","2.922308","3.003846","0.4615","0.2308","0.3846"
"builds","2.900000","3.200000","3.300000","0.0000","1.0000","1.0000"
"built","3.031538","3.068974","3.105897","0.4103","0.5128","0.5897"
"built-in","3.140000","3.000000","2.860000","1.0000","0.0000","0.0000"
"buised","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"bulbs","3.000000","2.640000","3.000000","0.0000","0.0000","0.0000"
"bulgaria","2.700000","2.800000","3.000000","0.0000","0.0000","0.0000"
"bulged","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"bulging","2.500000","3.500000","2.750000","0.0000","1.0000","0.0000"
"bulk","2.900000","3.200000","3.100000","0.0000","1.0000","1.0000"
"bull","2.550000","3.450000","3.150000","0.5000","1.0000","1.0000"
"bullet","3.000000","2.750000","2.750000","0.0000","0.0000","0.0000"
"bullets","2.400000","3.300000","2.900000","0.0000","1.0000","0.0000"
"bullpen","2.900000","3.000000","3.000000","0.0000","0.0000","0.0000"
"bulls","2.700000","3.100000","3.000000","0.0000","1.0000","0.0000"
"bully","2.330000","3.330000","3.440000","0.0000","1.0000","1.0000"
"bullying","2.400000","3.400000","3.000000","0.0000","1.0000","0.0000"
"bummer","2.005000","3.160000","2.890000","0.0000","1.0000","0.0000"
"bump","3.062500","2.990000","3.138750","0.6250","0.3750","0.8750"
"bumped","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"bumpers","2.780000","2.890000","3.220000","0.0000","0.0000","1.0000"
"bumping","3.000000","2.640000","3.000000","0.0000","0.0000","0.0000"
"bums","3.200000","2.800000","3.000000","1.0000","0.0000","0.0000"
"bun","3.350000","3.300000","3.225000","1.0000","1.0000","1.0000"
"bunch","3.466667","3.233333","3.166667","1.0000","1.0000","1.0000"
"bunches","3.100000","3.100000","3.200000","1.0000","1.0000","1.0000"
"bunk","3.200000","3.100000","3.200000","0.5000","0.5000","1.0000"
"bunker","2.950000","2.900000","2.950000","0.0000","0.0000","0.0000"
"buns","3.500000","3.500000","3.250000","1.0000","1.0000","1.0000"
"buoyancy","3.000000","2.880000","3.000000","0.0000","0.0000","0.0000"
"burberry","2.810000","2.955000","2.960000","0.0000","0.0000","0.5000"
"burden","2.732500","3.032500","3.002500","0.0000","0.2500","0.5000"
"burdening","2.800000","3.000000","3.100000","0.0000","0.0000","1.0000"
"bureau","3.080000","2.706667","3.190000","0.6667","0.0000","0.3333"
"bureaucratic","2.500000","2.800000","3.000000","0.0000","0.0000","0.0000"
"burgeoning","2.942000","2.960000","3.030000","0.4000","0.4000","0.6000"
"burgers","2.895000","3.420000","3.055000","0.0000","1.0000","0.5000"
"burglars","2.700000","2.900000","3.000000","0.0000","0.0000","0.0000"
"burial","2.713333","3.216667","3.200000","0.3333","0.6667","1.0000"
"buried","2.578000","3.180000","2.982000","0.0000","0.6000","0.6000"
"burlington","3.200000","2.700000","3.000000","1.0000","0.0000","0.0000"
"burn","2.823333","3.240000","3.216667","0.6667","0.3333","0.6667"
"burned","2.915714","3.141429","2.965714","0.2857","0.5714","0.4286"
"burning","2.758000","2.954000","2.884000","0.2000","0.4000","0.4000"
"burns","3.110000","3.110000","3.220000","1.0000","1.0000","1.0000"
"burnt","2.900000","2.700000","2.800000","0.0000","0.0000","0.0000"
"burrs","2.600000","2.900000","2.800000","0.0000","0.0000","0.0000"
"burst","3.300000","3.200000","3.200000","1.0000","1.0000","1.0000"
"bury","3.000000","3.000000","3.120000","0.0000","0.0000","1.0000"
"bus","2.978000","2.974000","3.038000","0.4000","0.2000","0.5000"
"bus-bombing","2.100000","3.200000","2.600000","0.0000","1.0000","0.0000"
"busch","2.240000","3.520000","3.055000","0.0000","1.0000","0.5000"
"busch's","2.400000","3.300000","2.700000","0.0000","1.0000","0.0000"
"buses","2.981667","2.946667","3.048333","0.5000","0.3333","0.3333"
"bush","2.881563","3.027500","3.106563","0.2813","0.3750","0.5938"
"bush's","2.700000","2.820000","2.945000","0.0000","0.0000","0.5000"
"bushwhacking","3.100000","2.700000","2.900000","1.0000","0.0000","0.0000"
"busily","3.100000","3.100000","3.200000","1.0000","1.0000","1.0000"
"business","3.022759","3.027931","3.097586","0.4655","0.5000","0.6379"
"businesses","3.103333","3.073333","3.226667","0.6667","0.6667","0.8333"
"businessman","3.050000","2.845000","3.025000","0.5000","0.2500","0.5000"
"businessmen","2.900000","2.900000","3.100000","0.0000","0.0000","1.0000"
"bust","2.500000","3.170000","3.330000","0.0000","1.0000","1.0000"
"buster","2.600000","2.800000","3.300000","0.0000","0.0000","1.0000"
"busy","3.244167","3.081667","3.073333","0.7500","0.5000","0.5833"
"but","2.906275","3.038642","3.049338","0.2599","0.4321","0.4901"
"butchering","2.500000","3.100000","3.100000","0.0000","1.0000","1.0000"
"butter","3.125000","3.150000","3.075000","0.5000","0.7500","0.7500"
"butterflies","2.860000","3.000000","3.000000","0.0000","0.0000","0.0000"
"butterfly","3.000000","3.100000","3.100000","0.0000","1.0000","1.0000"
"butters","3.120000","3.250000","3.120000","1.0000","1.0000","1.0000"
"button","2.940000","3.045000","3.110000","0.5000","0.5000","0.5000"
"buttons","2.830000","2.500000","3.330000","0.0000","0.0000","1.0000"
"buy","2.990000","3.025122","3.127317","0.4634","0.4390","0.6585"
"buy-back","2.800000","3.200000","3.000000","0.0000","1.0000","0.0000"
"buyer","2.871667","3.141667","3.220000","0.3333","0.6667","0.8333"
"buyers","2.633333","3.400000","3.033333","0.3333","0.6667","0.6667"
"buying","2.936429","3.076429","3.120000","0.2143","0.5000","0.7857"
"buys","3.140000","3.100000","3.063333","0.6667","0.6667","0.3333"
"buzz","2.700000","3.600000","3.000000","0.0000","1.0000","0.0000"
"buzzes","2.910000","2.820000","2.820000","0.0000","0.0000","0.0000"
"buzzing","3.440000","3.220000","3.330000","1.0000","1.0000","1.0000"
"by","2.964549","3.006632","3.062795","0.3524","0.3976","0.5035"
"by-product","2.900000","2.500000","3.100000","0.0000","0.0000","1.0000"
"bylichka","3.000000","2.800000","3.100000","0.0000","0.0000","1.0000"
"bylichkas","2.910000","3.090000","3.270000","0.0000","1.0000","1.0000"
"byways","3.860000","3.430000","3.290000","1.0000","1.0000","1.0000"
"béla","3.000000","3.000000","3.000000","0.0000","0.0000","0.0000"
"c","2.969750","2.917250","3.047750","0.3000","0.2500","0.4750"
"c-54","3.000000","2.780000","2.890000","0.0000","0.0000","0.0000"
"cabbage","3.120000","2.880000","3.000000","1.0000","0.0000","0.0000"
"cabernet","2.900000","3.000000","3.100000","0.0000","0.0000","1.0000"
"cabildo","3.000000","2.600000","3.000000","0.0000","0.0000","0.0000"
"cabildos","2.900000","2.800000","3.200000","0.0000","0.0000","1.0000"
"cabin","3.108333","3.051667","3.176667","0.5000","0.5000","0.8333"
"cabins","3.150000","3.200000","3.300000","0.5000","0.5000","1.0000"
"cable","3.224000","3.077000","3.080000","0.6000","0.4000","0.5000"
"cable-car","3.200000","2.700000","2.800000","1.0000","0.0000","0.0000"
"cable120","3.000000","2.800000","2.700000","0.0000","0.0000","0.0000"
"cache","2.250000","3.250000","2.870000","0.0000","1.0000","0.0000"
"cadential","3.000000","2.890000","2.890000","0.0000","0.0000","0.0000"
"cadman","3.000000","3.100000","3.000000","0.0000","1.0000","0.0000"
"cadmium","2.730000","2.820000","2.820000","0.0000","0.0000","0.0000"
"cafe","3.270000","3.161667","3.065000","1.0000","0.8333","0.3333"
"café","3.300000","3.100000","3.100000","1.0000","0.5000","0.5000"
"cafés","3.400000","3.256667","3.133333","1.0000","1.0000","0.6667"
"cage","3.000000","2.710000","3.000000","0.0000","0.0000","0.0000"
"cages","3.300000","3.000000","3.150000","1.0000","0.5000","1.0000"
"cagney","3.800000","3.300000","3.200000","1.0000","1.0000","1.0000"
"caine","3.100000","2.900000","3.200000","1.0000","0.0000","1.0000"
"cairo","2.650000","3.100000","3.100000","0.0000","0.5000","0.5000"
"cajoling","3.000000","2.860000","3.140000","0.0000","0.0000","1.0000"
"cake","2.923333","3.053333","2.920000","0.3333","0.6667","0.3333"
"calamity","2.840000","2.955000","2.955000","0.0000","0.5000","0.5000"
"calculable","3.000000","2.750000","3.000000","0.0000","0.0000","0.0000"
"calculate","3.075000","2.837500","3.075000","0.5000","0.0000","0.5000"
"calculating","2.910000","2.910000","3.090000","0.0000","0.0000","1.0000"
"calculations","2.900000","2.900000","2.700000","0.0000","0.0000","0.0000"
"calculator","3.140000","3.000000","2.860000","1.0000","0.0000","0.0000"
"calendar","2.992000","3.060000","3.037000","0.4000","0.3000","0.5000"
"calendars","3.225000","3.445000","3.115000","1.0000","0.5000","1.0000"
"calf","3.570000","2.710000","3.000000","1.0000","0.0000","0.0000"
"calibrate","3.100000","3.100000","2.900000","1.0000","1.0000","0.0000"
"caliche","3.000000","2.900000","3.100000","0.0000","0.0000","1.0000"
"calif","3.205000","2.912500","3.075000","1.0000","0.5000","0.5000"
"california","2.927391","2.925217","3.024783","0.2174","0.2609","0.3478"
"california's","2.900000","2.800000","3.000000","0.0000","0.0000","0.0000"
"californis","2.900000","3.400000","3.300000","0.0000","1.0000","1.0000"
"call","2.992667","3.018167","3.081167","0.4000","0.4500","0.6500"
"called","3.019792","3.082292","3.077292","0.4375","0.5000","0.5625"
"caller","2.900000","3.300000","2.900000","0.0000","1.0000","0.0000"
"callers","3.000000","2.710000","3.140000","0.0000","0.0000","1.0000"
"calligraphy","3.150000","3.000000","3.100000","1.0000","0.0000","1.0000"
"calling","2.956875","2.939375","3.190625","0.3125","0.1875","0.6875"
"callouses","2.900000","2.700000","3.000000","0.0000","0.0000","0.0000"
"calls","2.850000","3.097500","3.068750","0.3125","0.6250","0.5000"
"calm","2.914286","2.825714","2.982857","0.1429","0.2857","0.4286"
"calories","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"calves","2.640000","3.650000","3.175000","0.5000","1.0000","0.5000"
"calving","3.290000","3.140000","3.290000","1.0000","1.0000","1.0000"
"cam","3.000000","3.140000","3.290000","0.0000","1.0000","1.0000"
"cambridge","2.900000","2.500000","3.200000","0.0000","0.0000","1.0000"
"camden","2.750000","2.880000","3.120000","0.0000","0.0000","1.0000"
"came","2.994203","3.055362","3.028116","0.3623","0.4928","0.4493"
"camera","2.810000","3.060000","3.043000","0.1000","0.5000","0.6000"
"camera-flash","3.800000","3.600000","3.300000","1.0000","1.0000","1.0000"
"cameras","3.000000","2.850000","3.105000","0.2500","0.0000","0.7500"
"cameron","2.880000","3.080000","3.045000","0.5000","0.5000","0.5000"
"camp","3.267619","3.145714","3.107143","0.9048","0.6190","0.6190"
"campaign","2.869231","3.023077","3.010000","0.2308","0.4359","0.3333"
"campaigns","2.886667","2.988333","3.006667","0.3333","0.5000","0.6667"
"campbell","2.876000","3.104000","2.978000","0.2000","0.6000","0.2000"
"camper","3.250000","3.100000","3.200000","1.0000","0.5000","1.0000"
"campers","3.156364","3.141818","3.085455","0.8182","0.6364","0.5455"
"camperships","3.275000","3.360000","3.275000","1.0000","1.0000","1.0000"
"camping","3.240000","3.015000","3.143750","0.8750","0.5000","0.6250"
"camps","4.000000","3.700000","3.500000","1.0000","1.0000","1.0000"
"campsite","3.000000","2.700000","2.900000","0.0000","0.0000","0.0000"
"campus","3.140000","2.986000","3.096000","0.8000","0.4000","0.8000"
"camões","3.000000","2.800000","3.000000","0.0000","0.0000","0.0000"
"can","3.055559","3.079059","3.110382","0.5059","0.5147","0.6382"
"can't","2.650000","3.119231","2.956923","0.2308","0.5769","0.4231"
"canada","3.003333","2.963333","3.161667","0.5000","0.1667","0.6667"
"canadian","2.916667","3.060833","2.979167","0.3333","0.5000","0.2500"
"canadians","2.900000","3.200000","3.076667","0.0000","0.6667","0.6667"
"canal","2.900000","2.900000","2.900000","0.0000","0.0000","0.0000"
"canals","3.000000","3.100000","2.900000","0.0000","1.0000","0.0000"
"cancel","2.650000","2.900000","3.100000","0.0000","0.0000","0.5000"
"canceled","2.550000","3.050000","2.900000","0.0000","0.5000","0.0000"
"cancellation","2.430000","2.860000","2.430000","0.0000","0.0000","0.0000"
"cancellations","2.600000","2.900000","2.900000","0.0000","0.0000","0.0000"
"cancels","2.300000","3.060000","2.940000","0.0000","0.5000","0.0000"
"cancer","3.055385","3.191538","3.010769","0.4615","0.6154","0.6154"
"cancers","2.600000","3.300000","2.800000","0.0000","1.0000","0.0000"
"candid","3.000000","3.140000","2.860000","0.0000","1.0000","0.0000"
"candidate","2.942000","2.952000","3.066000","0.2000","0.4000","0.6000"
"candidates","3.000000","3.300000","3.100000","0.0000","1.0000","1.0000"
"candied","2.900000","3.100000","3.000000","0.0000","1.0000","0.0000"
"candle","2.955000","3.090000","3.040000","0.0000","0.5000","0.5000"
"candleflame","2.900000","2.900000","3.300000","0.0000","0.0000","1.0000"
"candy","2.440000","3.220000","2.560000","0.0000","1.0000","0.0000"
"cane","3.093333","3.190000","3.066667","0.3333","0.6667","0.3333"
"canete","3.400000","2.800000","2.800000","1.0000","0.0000","0.0000"
"canfield","2.800000","2.900000","2.900000","0.0000","0.0000","0.0000"
"cani","3.100000","2.900000","3.100000","1.0000","0.0000","1.0000"
"canine","3.300000","2.700000","2.800000","1.0000","0.0000","0.0000"
"canned","3.000000","2.880000","3.250000","0.0000","0.0000","1.0000"
"cannot","2.856400","3.088400","3.042000","0.2400","0.5200","0.5600"
"cano","2.750000","3.120000","2.880000","0.0000","1.0000","0.0000"
"canoe","3.211000","2.985000","3.137000","0.8000","0.2000","0.5000"
"canoeing","3.173333","2.783333","3.083333","0.6667","0.0000","0.3333"
"cans","3.200000","2.800000","3.000000","1.0000","0.0000","0.0000"
"cant","2.400000","3.200000","3.200000","0.0000","1.0000","1.0000"
"canton","3.093333","2.858333","3.063333","0.6667","0.1667","0.5000"
"cantonese","3.033333","3.000000","3.033333","0.6667","0.3333","0.6667"
"cantonese-speaking","3.000000","2.430000","3.000000","0.0000","0.0000","0.0000"
"canvas","3.200000","2.800000","2.900000","1.0000","0.0000","0.0000"
"canyon","3.000000","2.900000","3.000000","0.0000","0.0000","0.0000"
"cap","2.893846","2.961538","3.055385","0.2308","0.3846","0.5385"
"capabilities","3.036667","3.010000","3.096667","0.3333","0.3333","0.6667"
"capable","3.110000","3.182500","3.212500","0.5000","0.7500","1.0000"
"capacity","2.910000","3.107500","3.040000","0.5000","0.7500","0.2500"
"cape","3.055000","2.987000","3.044000","0.3000","0.4000","0.3000"
"capital","2.980714","3.013571","3.113571","0.3571","0.3571","0.7143"
"capitalism","2.800000","3.200000","2.933333","0.0000","1.0000","0.0000"
"capitalist","2.890000","3.000000","3.110000","0.0000","0.0000","1.0000"
